,id,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
0,0,4.5,-73.844311,40.721319,-73.84161,40.71227800000001,1
1,1,16.9,-74.016048,40.711303,-73.979268,40.782004,1
2,2,5.7,-73.982738,40.76127,-73.991242,40.750562,2
3,3,7.7,-73.98713000000002,40.733143,-73.991567,40.758092,1
4,4,5.3,-73.96809499999998,40.768008,-73.956655,40.783762,1
5,5,12.1,-74.000964,40.731629999999996,-73.972892,40.758233000000004,1
6,6,7.5,-73.980002,40.751661999999996,-73.973802,40.764842,1
7,7,16.5,-73.9513,40.774138,-73.990095,40.751048,1
8,8,9.0,-74.006462,40.726713000000004,-73.993078,40.731628,1
9,9,8.9,-73.98065799999998,40.733872999999996,-73.99154,40.758138,2
10,10,5.3,-73.996335,40.737142,-73.980721,40.733559,1
11,11,5.5,0.0,0.0,0.0,0.0,3
12,12,4.1,-73.991601,40.744712,-73.983081,40.744682,2
13,13,7.0,-74.00536,40.728867,-74.008913,40.710907,1
14,14,7.7,-74.00182099999998,40.737547,-73.99806,40.722788,2
15,15,5.0,0.0,0.0,0.0,0.0,1
16,16,12.5,-73.98643,40.760465,-73.98899,40.737075,1
17,17,5.3,-73.98106,40.73769,-73.99417700000002,40.728412,1
18,18,5.3,-73.969505,40.784843,-73.958732,40.783357,1
19,19,4.0,-73.979815,40.751902,-73.979446,40.755481,1
20,20,10.5,-73.985382,40.747858,-73.97837700000002,40.76207,1
21,21,11.5,-73.957954,40.779252,-73.96125,40.758787,1
22,22,4.5,-73.99170699999998,40.770505,-73.98545899999998,40.763671,1
23,23,4.9,-74.000632,40.747473,-73.986672,40.740577,1
24,24,6.1,-73.969622,40.756972999999995,-73.98115200000002,40.759712,1
25,25,7.3,-73.991875,40.754437,-73.97723,40.774322999999995,3
26,26,6.5,0.0,0.0,0.0,0.0,1
27,27,4.5,-73.988893,40.76016,-73.98644499999997,40.757857,3
28,28,9.3,-73.98925799999998,40.690835,-74.004133,40.72569,1
29,29,4.5,-73.98102,40.737759999999994,-73.98066800000002,40.730497,2
30,30,5.5,-73.976075,40.752421999999996,-73.981082,40.759285,1
31,31,22.54,-74.01048278808595,40.71766662597656,-73.98577117919923,40.66036605834961,1
32,32,31.9,-73.87302700000002,40.77388300000001,-73.984545,40.769545,3
33,33,5.7,-73.976162,40.744988,-73.990002,40.738323,2
34,34,18.1,-73.993717,40.740784999999995,-73.99927199999998,40.676617,1
35,35,58.0,-73.98332977294923,40.73871994018555,-73.93319702148438,40.84722518920898,1
36,36,4.5,-73.99017333984375,40.756446838378906,-73.9856185913086,40.7628288269043,1
37,37,5.3,-73.995199,40.75474000000001,-74.005416,40.75108400000001,1
38,38,9.0,-73.95774,40.773617,-73.977087,40.758465,6
39,39,9.8,-73.972673,40.759186,-73.969897,40.791367,1
40,40,8.1,-73.984267,40.744960999999996,-73.981646,40.759608,1
41,41,10.9,-74.003899,40.725514000000004,-73.976484,40.765537,2
42,42,17.5,-73.97845,40.76292,-74.008482,40.716502,1
43,43,12.1,-73.988558,40.7372,-73.958688,40.780747999999996,1
44,44,5.3,-73.997037,40.737095000000004,-73.98612800000002,40.735043,1
45,45,6.9,-73.971114,40.758944,-73.97793,40.736613,1
46,46,4.5,-73.980822,40.74442,-73.991093,40.748796999999996,1
47,47,3.3,-73.988877,40.76357700000001,-73.985573,40.760262,1
48,48,3.3,-73.98666,40.756071999999996,-73.989727,40.751702,5
49,49,9.0,-73.992253,40.742657,-73.983597,40.755947,1
50,50,9.7,-73.985582,40.73976500000001,-73.973899,40.760426,1
51,51,5.5,-73.952825,40.772048,-73.95219399999998,40.781152,3
52,52,8.0,-73.980298,40.783722999999995,-73.979628,40.763179,1
53,53,7.5,-73.97770799999998,40.746212,-73.975782,40.745055,1
54,54,25.5,-73.974497,40.751603,-73.934927,40.851566999999996,4
55,55,15.3,-73.97151,40.755886,-73.968067,40.801173,1
56,56,34.67,-73.985427,40.758853,-73.872907,40.774497,1
57,57,9.7,-73.97954200000002,40.727498,-73.999315,40.730088,4
58,58,13.7,-74.002113,40.739582,-73.971918,40.791899,2
59,59,6.5,-73.98543000000002,40.736011,-73.982501,40.724802000000004,1
60,60,5.0,-73.996148,40.74189000000001,-73.992202,40.739425,6
61,61,4.5,-74.009137,40.713436,-74.00282299999998,40.72342800000001,3
62,62,4.9,-74.003985,40.73167700000001,-73.999765,40.723512,1
63,63,7.0,-73.96620300000002,40.7675,-73.980915,40.77424,6
64,64,7.3,-74.003919,40.753019,-73.992368,40.735362,1
65,65,7.5,-74.004736,40.715882,-74.017723,40.705141,1
66,66,8.5,-73.991467,40.750575,-73.98575,40.741547,4
67,67,16.5,-73.970323,40.750840000000004,-73.99839200000002,40.724862,6
68,68,11.5,-73.97927856445312,40.72343826293945,-74.00460815429686,40.7469482421875,6
69,69,5.0,-73.95479583740234,40.779335021972656,-73.94493103027344,40.780086517333984,1
70,70,6.9,-73.99578100000002,40.723411,-74.005004,40.71895,2
71,71,3.7,-74.00163,40.730767,-73.997112,40.737533,1
72,72,6.9,-73.955118,40.768941999999996,-73.963495,40.761887,2
73,73,10.1,-73.977788,40.771838,-73.9662,40.778113,2
74,74,16.5,-73.9828,40.745287,-74.01425,40.702935,1
75,75,15.07,-73.961933,40.795584999999996,-73.962253,40.764817,2
76,76,7.7,-73.996601,40.736569,-73.982152,40.744322,1
77,77,24.9,-74.006662,40.73121,-73.92594,40.825588,1
78,78,7.0,-73.988425,40.764342,-74.001642,40.745752,2
79,79,8.5,-73.994128,40.735087,-73.986393,40.751461,1
80,80,5.7,-73.97383,40.763717,-73.98942,40.771522,1
81,81,5.0,-74.01335999999998,40.702272,-74.01699,40.709245,1
82,82,8.5,-73.95371,40.790813,-73.957015,40.777676,1
83,83,17.0,-74.00972800000002,40.705166999999996,-73.970897,40.749307,1
84,84,8.0,-73.950688,40.828531,-73.964101,40.80814,1
85,85,12.0,-73.995387,40.749482,-73.975789,40.748740999999995,1
86,86,12.5,-73.917399,40.746485,-73.97375600000002,40.763836,1
87,87,7.5,-73.990815,40.730495,-73.978337,40.751084999999996,1
88,88,6.9,-74.00744300000002,40.732547,-73.991112,40.742312,5
89,89,5.0,-73.9887466430664,40.74495315551758,-73.99568176269531,40.74422073364258,2
90,90,10.5,-74.00113499999998,40.730979,-73.984424,40.76463,1
91,91,7.7,-73.96888100000002,40.764533,-73.985311,40.748956,1
92,92,11.0,-73.9810562133789,40.77426528930664,-73.95904541015625,40.78067398071289,2
93,93,5.7,-73.99282600000002,40.751271,-73.982786,40.742432,1
94,94,9.0,-73.946852,40.775802,-73.96434,40.760703,1
95,95,13.5,-73.950655,40.783282,-73.984365,40.769802,1
96,96,7.5,-73.976512,40.76527700000001,-73.977672,40.778052,1
97,97,9.0,-73.984977,40.752122,-74.000925,40.757982,1
98,98,14.0,-73.97920989990234,40.72368240356445,-74.01746368408203,40.71139526367188,1
99,99,5.7,-73.983052,40.722588,-73.988022,40.733738,3
100,100,10.0,-74.002581,40.739571999999995,-73.99458,40.760682,1
101,101,5.7,-73.993452,40.761447,-73.979662,40.759617999999996,5
102,102,9.7,-73.97070500000002,40.761643,-73.99283299999998,40.727647,2
103,103,14.1,-73.974492,40.751369,-74.01058499999998,40.703364,1
104,104,7.7,-73.991607,40.76318,-73.982718,40.76239,2
105,105,52.0,-74.035839,40.74732,-74.035839,40.74732,1
106,106,11.3,-74.00766999999998,40.732177,-73.974663,40.758932,1
107,107,8.5,-73.986681,40.725659,-73.977068,40.754504,1
108,108,12.9,-73.965315,40.790852,-73.978195,40.766375,6
