,id,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance_km,hour,gb_pred,rf_pred
0,131,16.5,-73.983837,40.676052,-74.002522,40.723145,1,5.468282531723714,23,14.799922670038088,16.06
1,203,11.3,-73.993973,40.746577,-74.00506,40.70936500000001,1,4.241944273601332,20,12.298103443486381,17.0
2,50,9.7,-73.985582,40.73976500000001,-73.973899,40.760426,1,2.4993156172294944,9,10.08732607247085,8.809999999999997
3,585,5.7,-73.984797,40.763133,-73.975928,40.765276,2,0.7840308800968987,23,6.353219020014786,4.910000000000001
4,138,6.5,-73.980735,40.747911,-73.97053000000002,40.761998,1,1.786754941706857,11,9.699922055901151,9.18
5,632,8.9,-73.98913,40.756668,-73.96106999999998,40.757225,2,2.3642653964251785,22,9.206372241770866,10.39
6,328,5.0,-73.98275100000002,40.762738,-73.97835400000002,40.764564,2,0.4223266062722302,21,5.972286838914451,4.5600000000000005
7,461,3.3,-73.998082,40.741128,-73.993909,40.739392,1,0.4010818033562594,10,4.4010285453963185,4.0
8,924,5.7,-73.989708,40.73873,-73.997613,40.724167,2,1.7509713795731514,13,7.333709517212987,7.31
9,479,8.0,-73.976248,40.760885,-73.991236,40.750376,1,1.72025157615307,22,6.800971374955108,6.419999999999999
10,195,16.0,-73.996652,40.744495,-73.980253,40.737635,1,1.5781833746124156,0,6.0387865742781575,6.5299999999999985
11,221,6.1,-73.98971999999998,40.75238,-74.007553,40.743197,1,1.816431129084904,20,7.599895517600522,7.13
12,209,4.5,-73.99533100000002,40.739986,-73.987655,40.736707,1,0.7424184600709172,9,4.721687877424286,5.0
13,378,6.1,-73.970447,40.75779,-73.969687,40.769923,5,1.3506455443553098,9,7.254146268150274,6.42
14,156,9.5,-73.992583,40.730417,-74.005352,40.740247,1,1.5336994445844123,21,6.015816945310415,6.57
15,327,18.5,-74.005385,40.707002,-73.992793,40.750742,1,4.978060208361972,21,13.419174944750367,13.699999999999998
16,761,21.5,-74.00156199999998,40.741032,-73.95868,40.719377,1,4.342159865497908,21,12.49991776709809,12.993
17,320,26.5,-73.776747,40.645265,-73.81380300000002,40.709035,1,7.748933934719671,22,25.661276035619988,37.07899999999999
18,274,5.7,-73.967598,40.756242,-73.953277,40.76833,1,1.805947197253465,22,7.704450096801463,5.709999999999999
19,417,9.3,-73.9927,40.7372,-73.9683,40.7624,1,3.4751251103696235,11,12.304422074307773,23.54
20,372,10.1,-73.982334,40.722411,-73.964907,40.755644,1,3.9763418339982697,1,11.43386535760051,9.7
21,299,11.5,-73.95511627197266,40.76898956298828,-73.98423767089844,40.74843978881836,1,3.352243745610658,8,10.804788882250529,10.86
22,229,5.7,-74.000552,40.727492,-74.005037,40.719123,1,1.0044149200298995,19,4.800461222926296,5.409999999999998
23,896,8.1,-73.97515200000002,40.756832,-73.965323,40.765873,1,1.3022879331632442,8,6.3769550165864075,6.43
24,594,8.0,-73.9760208129883,40.7550163269043,-73.99665069580078,40.76326370239258,1,1.9647276390262067,20,8.04677290395264,9.71
25,983,6.9,-73.979668,40.739275,-73.975107,40.756322,1,1.934087932103293,10,9.091874101354604,9.38
26,736,34.1,-73.873254,40.773999,-73.983536,40.762902,1,9.3689010218808,15,30.896730966833356,35.48899999999999
27,85,12.0,-73.995387,40.749482,-73.975789,40.748741,1,1.6529611518586296,13,8.939987745327285,9.84
28,882,9.0,-73.99801,40.75608,-73.98273,40.77334000000001,1,2.310722243274168,17,8.949548874804293,8.66
29,7,16.5,-73.9513,40.774138,-73.990095,40.751048,1,4.155444291845964,17,15.133592290218274,12.08
30,722,10.9,-74.005771,40.736004,-73.989396,40.718013,1,2.430237949227055,1,8.61203052868618,10.32
31,43,12.1,-73.988558,40.7372,-73.958688,40.780748,1,5.456870473290461,21,14.4833010717029,14.5
32,566,4.9,-73.955322,40.78284,-73.955797,40.773673,0,1.0201082579041985,21,4.5125661642335135,9.69
33,317,8.5,-73.976877,40.759192,-73.991685,40.74981,1,1.6260672136905518,13,7.0058205258817665,6.860000000000001
34,874,13.7,-74.001837,40.732437,-73.957734,40.769518,1,5.5500138873419855,19,14.240936030103418,14.06
35,743,4.9,-73.975245,40.763207,-73.96342800000002,40.77076,1,1.302205000001834,20,6.802542140359793,6.2200000000000015
36,353,8.9,-74.000763,40.729744,-73.974662,40.74915900000001,3,3.0816161553740318,22,9.396466943738623,8.95
37,145,17.0,-73.962458,40.759027,-73.986199,40.753397,1,2.09539539748365,9,9.311414555898244,10.53
38,346,5.0,-73.99436,40.72039,-73.98577,40.72304000000001,2,0.7815813931219807,5,4.286642378848621,4.68
39,590,13.7,-73.96430699999998,40.773437,-73.989902,40.735977,1,4.690219416170812,14,15.692865140782098,13.9
40,771,18.5,-73.99789200000002,40.724297,-73.97757800000002,40.786941,1,7.172768645520352,14,21.267513746947788,21.51
41,336,4.9,-73.970442,40.764695,-73.961907,40.765392,4,0.7229695681696141,17,5.423322943110542,5.14
42,633,4.5,-73.990909,40.739949,-73.99385600000002,40.732722,1,0.8410911715255059,19,4.251242448724108,4.58
43,310,8.0,-74.01072692871094,40.71009063720703,-73.99810028076173,40.722900390625,1,1.7780096278310895,9,8.128633842208195,10.29
44,693,4.1,-73.99093,40.76560300000001,-73.982563,40.77027,1,0.8751004075275798,10,5.105214367916165,4.84
45,691,10.5,-73.97998199999998,40.762695,-73.96255699999998,40.804685,1,4.894141501052308,0,13.394940905113685,17.305999999999997
46,338,8.1,-73.99096999999998,40.742158,-73.977728,40.72673,1,2.0464240681496846,14,9.480571299069213,7.69
47,901,6.0,-73.95686500000002,40.774874,-73.955842,40.784669,1,1.0925550588235948,13,6.427623514341475,6.4
48,318,20.0,-73.89317700000002,40.790756,-73.892578,40.788483,1,0.25772770495161257,19,4.916352339363597,3.38
