,id,date,store,item,sales
0,100000,2017-12-01,1,1,19
1,100001,2017-12-02,1,1,16
2,100002,2017-12-03,1,1,31
3,100003,2017-12-04,1,1,7
4,100004,2017-12-05,1,1,20
5,100005,2017-12-06,1,1,17
6,100006,2017-12-07,1,1,18
7,100007,2017-12-08,1,1,17
8,100008,2017-12-09,1,1,27
9,100009,2017-12-10,1,1,20
10,100010,2017-12-11,1,1,20
11,100011,2017-12-12,1,1,13
12,100012,2017-12-13,1,1,17
13,100013,2017-12-14,1,1,14
14,100014,2017-12-15,1,1,16
15,100015,2017-12-16,1,1,15
16,100016,2017-12-17,1,1,22
17,100017,2017-12-18,1,1,19
18,100018,2017-12-19,1,1,7
19,100019,2017-12-20,1,1,16
20,100020,2017-12-21,1,1,12
21,100021,2017-12-22,1,1,6
22,100022,2017-12-23,1,1,18
23,100023,2017-12-24,1,1,19
24,100024,2017-12-25,1,1,13
25,100025,2017-12-26,1,1,16
26,100026,2017-12-27,1,1,14
27,100027,2017-12-28,1,1,19
28,100028,2017-12-29,1,1,15
29,100029,2017-12-30,1,1,27
30,100030,2017-12-31,1,1,23
31,100031,2017-12-01,2,1,31
32,100032,2017-12-02,2,1,24
33,100033,2017-12-03,2,1,20
34,100034,2017-12-04,2,1,10
35,100035,2017-12-05,2,1,14
36,100036,2017-12-06,2,1,12
37,100037,2017-12-07,2,1,21
38,100038,2017-12-08,2,1,27
39,100039,2017-12-09,2,1,29
40,100040,2017-12-10,2,1,29
41,100041,2017-12-11,2,1,16
42,100042,2017-12-12,2,1,20
43,100043,2017-12-13,2,1,23
44,100044,2017-12-14,2,1,18
45,100045,2017-12-15,2,1,25
46,100046,2017-12-16,2,1,30
47,100047,2017-12-17,2,1,45
48,100048,2017-12-18,2,1,20
49,100049,2017-12-19,2,1,16
50,100050,2017-12-20,2,1,19
51,100051,2017-12-21,2,1,21
52,100052,2017-12-22,2,1,28
53,100053,2017-12-23,2,1,18
54,100054,2017-12-24,2,1,28
55,100055,2017-12-25,2,1,18
56,100056,2017-12-26,2,1,25
57,100057,2017-12-27,2,1,19
58,100058,2017-12-28,2,1,21
59,100059,2017-12-29,2,1,18
60,100060,2017-12-30,2,1,24
61,100061,2017-12-31,2,1,31
62,100062,2017-12-01,3,1,19
63,100063,2017-12-02,3,1,31
64,100064,2017-12-03,3,1,26
65,100065,2017-12-04,3,1,17
66,100066,2017-12-05,3,1,21
67,100067,2017-12-06,3,1,28
68,100068,2017-12-07,3,1,17
69,100069,2017-12-08,3,1,26
70,100070,2017-12-09,3,1,29
71,100071,2017-12-10,3,1,28
72,100072,2017-12-11,3,1,19
73,100073,2017-12-12,3,1,18
74,100074,2017-12-13,3,1,26
75,100075,2017-12-14,3,1,31
76,100076,2017-12-15,3,1,20
77,100077,2017-12-16,3,1,32
78,100078,2017-12-17,3,1,19
79,100079,2017-12-18,3,1,21
80,100080,2017-12-19,3,1,19
81,100081,2017-12-20,3,1,24
82,100082,2017-12-21,3,1,29
83,100083,2017-12-22,3,1,22
84,100084,2017-12-23,3,1,27
85,100085,2017-12-24,3,1,27
86,100086,2017-12-25,3,1,13
87,100087,2017-12-26,3,1,16
88,100088,2017-12-27,3,1,16
89,100089,2017-12-28,3,1,17
90,100090,2017-12-29,3,1,21
91,100091,2017-12-30,3,1,31
92,100092,2017-12-31,3,1,19
93,100093,2017-12-01,4,1,17
94,100094,2017-12-02,4,1,29
95,100095,2017-12-03,4,1,19
96,100096,2017-12-04,4,1,11
97,100097,2017-12-05,4,1,12
98,100098,2017-12-06,4,1,17
99,100099,2017-12-07,4,1,25
100,100100,2017-12-08,4,1,22
101,100101,2017-12-09,4,1,24
102,100102,2017-12-10,4,1,27
103,100103,2017-12-11,4,1,18
104,100104,2017-12-12,4,1,22
105,100105,2017-12-13,4,1,12
106,100106,2017-12-14,4,1,29
107,100107,2017-12-15,4,1,25
108,100108,2017-12-16,4,1,21
109,100109,2017-12-17,4,1,18
110,100110,2017-12-18,4,1,18
111,100111,2017-12-19,4,1,19
112,100112,2017-12-20,4,1,17
113,100113,2017-12-21,4,1,17
114,100114,2017-12-22,4,1,22
115,100115,2017-12-23,4,1,23
116,100116,2017-12-24,4,1,25
117,100117,2017-12-25,4,1,16
118,100118,2017-12-26,4,1,18
119,100119,2017-12-27,4,1,15
120,100120,2017-12-28,4,1,26
121,100121,2017-12-29,4,1,28
122,100122,2017-12-30,4,1,21
123,100123,2017-12-31,4,1,23
124,100124,2017-12-01,5,1,9
125,100125,2017-12-02,5,1,20
126,100126,2017-12-03,5,1,14
127,100127,2017-12-04,5,1,9
128,100128,2017-12-05,5,1,9
129,100129,2017-12-06,5,1,18
130,100130,2017-12-07,5,1,13
131,100131,2017-12-08,5,1,15
132,100132,2017-12-09,5,1,24
133,100133,2017-12-10,5,1,12
134,100134,2017-12-11,5,1,10
135,100135,2017-12-12,5,1,16
136,100136,2017-12-13,5,1,17
137,100137,2017-12-14,5,1,17
138,100138,2017-12-15,5,1,18
139,100139,2017-12-16,5,1,18
140,100140,2017-12-17,5,1,11
141,100141,2017-12-18,5,1,4
142,100142,2017-12-19,5,1,16
143,100143,2017-12-20,5,1,13
144,100144,2017-12-21,5,1,10
145,100145,2017-12-22,5,1,14
146,100146,2017-12-23,5,1,22
147,100147,2017-12-24,5,1,14
148,100148,2017-12-25,5,1,17
149,100149,2017-12-26,5,1,12
150,100150,2017-12-27,5,1,15
151,100151,2017-12-28,5,1,13
152,100152,2017-12-29,5,1,18
153,100153,2017-12-30,5,1,19
154,100154,2017-12-31,5,1,24
155,100155,2017-12-01,6,1,11
156,100156,2017-12-02,6,1,18
157,100157,2017-12-03,6,1,15
158,100158,2017-12-04,6,1,14
159,100159,2017-12-05,6,1,16
160,100160,2017-12-06,6,1,10
161,100161,2017-12-07,6,1,6
162,100162,2017-12-08,6,1,11
163,100163,2017-12-09,6,1,14
164,100164,2017-12-10,6,1,24
165,100165,2017-12-11,6,1,9
166,100166,2017-12-12,6,1,13
167,100167,2017-12-13,6,1,11
168,100168,2017-12-14,6,1,10
169,100169,2017-12-15,6,1,15
170,100170,2017-12-16,6,1,23
171,100171,2017-12-17,6,1,14
172,100172,2017-12-18,6,1,15
173,100173,2017-12-19,6,1,16
174,100174,2017-12-20,6,1,7
175,100175,2017-12-21,6,1,13
176,100176,2017-12-22,6,1,13
177,100177,2017-12-23,6,1,13
178,100178,2017-12-24,6,1,21
179,100179,2017-12-25,6,1,10
180,100180,2017-12-26,6,1,14
181,100181,2017-12-27,6,1,14
182,100182,2017-12-28,6,1,8
183,100183,2017-12-29,6,1,16
184,100184,2017-12-30,6,1,10
185,100185,2017-12-31,6,1,19
186,100186,2017-12-01,7,1,15
187,100187,2017-12-02,7,1,17
188,100188,2017-12-03,7,1,9
189,100189,2017-12-04,7,1,9
190,100190,2017-12-05,7,1,13
191,100191,2017-12-06,7,1,15
192,100192,2017-12-07,7,1,12
193,100193,2017-12-08,7,1,21
194,100194,2017-12-09,7,1,15
195,100195,2017-12-10,7,1,17
196,100196,2017-12-11,7,1,7
197,100197,2017-12-12,7,1,10
198,100198,2017-12-13,7,1,12
199,100199,2017-12-14,7,1,14
200,100200,2017-12-15,7,1,15
201,100201,2017-12-16,7,1,12
202,100202,2017-12-17,7,1,10
203,100203,2017-12-18,7,1,10
204,100204,2017-12-19,7,1,13
205,100205,2017-12-20,7,1,10
206,100206,2017-12-21,7,1,10
207,100207,2017-12-22,7,1,12
208,100208,2017-12-23,7,1,14
209,100209,2017-12-24,7,1,13
210,100210,2017-12-25,7,1,8
211,100211,2017-12-26,7,1,9
212,100212,2017-12-27,7,1,13
213,100213,2017-12-28,7,1,18
214,100214,2017-12-29,7,1,18
215,100215,2017-12-30,7,1,17
216,100216,2017-12-31,7,1,16
217,100217,2017-12-01,8,1,28
218,100218,2017-12-02,8,1,29
219,100219,2017-12-03,8,1,35
220,100220,2017-12-04,8,1,18
221,100221,2017-12-05,8,1,26
222,100222,2017-12-06,8,1,21
223,100223,2017-12-07,8,1,21
224,100224,2017-12-08,8,1,20
225,100225,2017-12-09,8,1,28
226,100226,2017-12-10,8,1,27
227,100227,2017-12-11,8,1,24
228,100228,2017-12-12,8,1,18
229,100229,2017-12-13,8,1,14
230,100230,2017-12-14,8,1,17
231,100231,2017-12-15,8,1,26
232,100232,2017-12-16,8,1,22
233,100233,2017-12-17,8,1,23
234,100234,2017-12-18,8,1,17
235,100235,2017-12-19,8,1,19
236,100236,2017-12-20,8,1,18
237,100237,2017-12-21,8,1,33
238,100238,2017-12-22,8,1,36
239,100239,2017-12-23,8,1,17
240,100240,2017-12-24,8,1,22
241,100241,2017-12-25,8,1,17
242,100242,2017-12-26,8,1,22
243,100243,2017-12-27,8,1,13
244,100244,2017-12-28,8,1,25
245,100245,2017-12-29,8,1,34
246,100246,2017-12-30,8,1,30
247,100247,2017-12-31,8,1,26
248,100248,2017-12-01,9,1,19
249,100249,2017-12-02,9,1,15
250,100250,2017-12-03,9,1,30
251,100251,2017-12-04,9,1,16
252,100252,2017-12-05,9,1,19
253,100253,2017-12-06,9,1,22
254,100254,2017-12-07,9,1,12
255,100255,2017-12-08,9,1,17
256,100256,2017-12-09,9,1,22
257,100257,2017-12-10,9,1,20
258,100258,2017-12-11,9,1,14
259,100259,2017-12-12,9,1,17
260,100260,2017-12-13,9,1,11
