,id,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
15000,15000,6.0,2015-05-13 20:14:06 UTC,-73.9941177368164,40.74092102050781,-73.99444580078125,40.75083541870117,2
15001,15001,7.3,2011-11-22 23:14:41 UTC,-73.989278,40.721811,-74.00580699999998,40.732916,2
15002,15002,7.5,2013-09-19 06:41:00 UTC,-73.985855,40.74988,-74.006105,40.744572,1
15003,15003,41.0,2014-04-30 03:04:30 UTC,-73.987763,40.755016,-73.85905799999998,40.69240900000001,2
15004,15004,8.1,2010-05-12 10:21:00 UTC,-74.00126800000002,40.729278,-74.005088,40.74115,5
15005,15005,11.3,2009-07-19 00:27:01 UTC,-74.002055,40.740321,-73.987648,40.71980900000001,1
15006,15006,3.3,2010-11-11 18:39:00 UTC,-73.94710500000002,40.776188,-73.95201999999998,40.777632,1
15007,15007,16.5,2013-11-02 01:36:40 UTC,-73.957936,40.722047,-73.995615,40.689133,1
15008,15008,4.9,2010-11-16 06:56:34 UTC,-73.947016,40.780043,-73.95751700000002,40.785074,1
15009,15009,7.3,2012-06-06 15:12:16 UTC,-73.976702,40.73933,-73.990381,40.750889,1
15010,15010,6.5,2013-06-06 00:14:25 UTC,-73.98735,40.73596,-73.974027,40.75039,1
15011,15011,8.0,2014-07-13 01:42:19 UTC,-73.99525,40.749788,-74.002911,40.733685,1
15012,15012,6.7,2009-01-14 19:43:33 UTC,0.0,0.0,0.0,0.0,1
15013,15013,3.7,2009-03-24 10:06:01 UTC,-73.98236,40.731596,-73.976349,40.73965,4
15014,15014,4.1,2010-02-07 03:13:37 UTC,-73.983273,40.738664,-73.984983,40.745065,4
15015,15015,6.5,2010-02-20 01:40:00 UTC,-74.005822,40.741198,-73.992935,40.763123,1
15016,15016,28.9,2010-11-05 22:18:00 UTC,-73.988782,40.774237,-73.836235,40.840663,1
15017,15017,5.3,2011-02-16 02:16:00 UTC,-73.98369,40.749598,-73.992595,40.758003,1
15018,15018,4.1,2009-06-02 20:31:31 UTC,-74.00571500000002,40.740368,-73.998249,40.736332,1
15019,15019,4.9,2010-10-18 11:23:00 UTC,-73.994428,40.743842,-73.996633,40.743053,1
15020,15020,15.0,2015-03-02 12:00:31 UTC,-73.94439697265625,40.77804946899415,-73.96908569335938,40.768379211425774,1
15021,15021,3.0,2015-06-19 10:19:41 UTC,-73.86309051513672,40.76953887939453,-73.86309051513672,40.76953887939453,1
15022,15022,8.5,2010-05-05 22:06:00 UTC,-73.963598,40.7677,-73.979173,40.789287,1
15023,15023,73.3,2011-08-31 07:17:00 UTC,-73.866952,40.771788,-73.587587,40.724017,2
15024,15024,6.1,2011-11-15 09:54:00 UTC,0.0,0.0,0.0,0.0,2
15025,15025,6.1,2009-09-03 06:09:00 UTC,-74.007913,40.724033,-73.99660300000002,40.733292,2
15026,15026,4.9,2010-02-06 13:22:17 UTC,-73.95910500000002,40.774967,-73.9451,40.773357,1
15027,15027,8.0,2013-12-22 09:51:38 UTC,0.0,0.0,0.0,0.0,1
15028,15028,8.1,2010-04-26 06:58:00 UTC,-73.954972,40.777382,-73.976025,40.755937,1
15029,15029,57.83,2014-11-17 08:03:50 UTC,-73.977535,40.776902,-73.873198,40.774412,2
15030,15030,20.0,2015-02-21 00:41:24 UTC,-73.99427032470702,40.72994613647461,-73.97907257080078,40.78438186645508,2
15031,15031,18.5,2015-06-12 14:00:43 UTC,-73.96783447265625,40.75215148925781,-74.00443267822266,40.739662170410156,1
15032,15032,11.0,2013-05-08 05:06:07 UTC,-73.918778,40.743592,-73.96691700000002,40.760134,1
15033,15033,8.5,2013-08-29 13:01:00 UTC,-73.975373,40.749917,-73.977372,40.761252,2
15034,15034,14.9,2009-03-22 00:20:00 UTC,-73.986885,40.725348,-73.98944499999998,40.666472,1
15035,15035,23.7,2011-02-08 17:54:00 UTC,-73.963305,40.77141500000001,-73.99521999999997,40.693803,1
15036,15036,17.0,2013-11-24 13:29:18 UTC,-73.988851,40.723089,-73.97177099999998,40.763218,1
15037,15037,49.8,2012-07-05 07:31:14 UTC,-73.99482900000002,40.739953,-73.77629,40.645606,1
15038,15038,19.5,2013-05-15 10:18:13 UTC,-74.00254699999998,40.745072,-73.972487,40.76316,1
15039,15039,5.7,2009-10-16 14:19:22 UTC,-73.97770200000002,40.784371,-73.962162,40.779295,1
15040,15040,3.7,2009-11-06 12:09:43 UTC,-73.973973,40.792101,-73.973457,40.786713,2
15041,15041,22.1,2010-07-18 00:02:25 UTC,-73.981865,40.740688,-73.97612,40.667672,4
15042,15042,12.9,2010-08-01 18:09:30 UTC,-73.992857,40.758154,-73.999144,40.723383,1
15043,15043,7.0,2014-03-22 18:26:44 UTC,-73.992225,40.75904600000001,-73.98881800000002,40.748265,2
15044,15044,49.15,2009-02-05 10:53:00 UTC,0.0,0.0,0.0,0.0,4
15045,15045,7.7,2009-12-19 11:23:00 UTC,-73.973962,40.756412,-73.97664,40.734227,1
15046,15046,10.9,2011-03-31 23:15:35 UTC,-73.985025,40.723988,-74.010276,40.70489,1
15047,15047,10.0,2012-12-10 07:45:00 UTC,-73.937495,40.797442,-73.953092,40.77609,1
15048,15048,8.5,2014-02-12 19:35:50 UTC,-73.972933,40.79317800000001,-73.981258,40.771922,2
15049,15049,4.0,2015-05-07 05:59:49 UTC,-73.98594665527344,40.75225830078125,-73.98169708251955,40.7584114074707,6
15050,15050,9.3,2009-06-15 16:01:10 UTC,-73.954258,40.766376,-73.978398,40.759868,1
15051,15051,45.0,2010-10-28 20:33:00 UTC,-73.78482,40.64861,-73.994842,40.740035,2
