,variance,skewness,curtosis,entropy,class
1240,-1.4022233983268226,-0.00457704858863232,-0.28110447171259445,-0.5948077955407471,fake
703,0.3088491352692575,0.4472282688203731,0.2079334776936518,0.6747141181407779,real
821,-1.5663137903998423,-1.744471536477736,2.5663636682521482,-0.11705453797203152,fake
1081,-1.954000654965243,0.8055771952627065,-0.3359934691218185,-2.537293309695709,fake
37,1.1243745129857998,-0.1890490216242148,0.053400270899784316,0.9369975140589588,real
167,0.20753748208928235,0.8485981565612439,-0.7900335232850085,-0.724125898745514,real
223,1.4824315019077337,1.4675954745159518,-1.388623400607604,-1.4352326260515509,real
647,1.1772297068296078,0.111446597829412,-0.020384809364214555,0.8366426664430945,real
325,1.415042889250682,0.0980494204995188,-0.08502508886570463,1.0287343290238424,real
558,1.390304406379712,-1.1593421464549587,0.4569088020069316,0.5534264977366428,real
341,-0.5680121964218235,1.6340715953570033,-0.28826480428933043,-2.6795622685969773,real
1218,-2.067452815386306,0.905749219649198,-0.2990041426467234,-3.034187170168812,fake
302,0.4402833223575547,1.1635681818527148,-0.6177909688216124,-0.09243838946066753,real
1124,-0.7715856294354243,-1.4291606160888122,1.6432029943231468,0.7196612055580458,fake
793,-0.9570714661536076,-1.256326801680267,1.022702731417281,0.9874868058992882,fake
80,0.8338468962251625,1.2210601400381214,-1.1058308815964175,0.08058885171979015,real
607,1.8692386195716053,1.4076320268740126,-1.4351597598178332,-1.4974157787707791,real
538,0.10162299312051208,-0.3368323302439935,0.9916939653799416,-0.07582129887949537,real
255,1.3051097164357317,-0.9547709984735618,0.5641165043471049,1.3433448955686944,real
236,-0.6197413142316753,1.2912504406036431,0.24212203485907186,-1.9413158804563617,real
1209,-0.3957155252513496,-0.4130153961751859,-0.4065948125315196,0.7935429805001802,fake
108,0.940366651062184,1.2986478642183676,-1.311658529215525,-1.3385773427283998,real
48,1.223363634345741,0.7061040058259935,-0.8938293329549056,0.24250311599008856,real
1109,-0.2964061760192523,0.2003349944902172,-1.0115744453107618,-0.7130319672113791,fake
1338,0.4037210411300471,-0.17952611707687216,-0.8614279576643922,0.9597805451279872,fake
1126,-1.3343773172809759,-1.561768808997933,2.331291226316388,0.2954540226815544,fake
336,1.242999585187848,0.34071559562126064,-0.1605880669429223,0.7276650248322437,real
186,0.9940312120553976,-1.0880950710873334,0.5581514947126766,0.4955542658805064,real
1259,-0.7996671505322012,-1.4016503817243753,0.9871215649986872,0.660553881066736,fake
3,1.0637423565324835,1.2954775398120573,-1.2553971153872978,-1.1440288266405212,real
426,-0.6882911927987444,1.520144453788293,0.32147755213576656,-1.3835244301456682,real
19,1.69212797335597,1.5518988321160174,-1.3347294225097728,-1.3853813543080338,real
938,-1.6929973442198882,-1.2679683692582782,2.214567360746192,0.3730306005723964,fake
