,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
14,University of Mobile,102900,5,1025.0,0.4918,0.7729,0.60508474576271,1764.0,5028.0,0.596045198,19750,51833.34,19649.0
15,University of Montevallo,100400,5,1069.0,0.4058,0.5755,0.7000988142292399,2557.0,7496.0,0.756929638,15500,59047.15,16885.0
16,University of North Alabama,101600,5,1027.0,0.402,0.6731,0.5799939740885799,4944.0,7393.0,0.771867612,12750,48189.09,11438.0
17,Oakwood University,103300,5,923.0,0.5312,0.7214,0.4748995983935701,1767.0,4439.0,0.530487805,26000,60906.45,24565.0
18,Samford University,103600,5,1162.0,0.1373,0.3287,0.93304130162703,2870.0,8599.0,0.881067961,16000,69602.13,27065.0
19,University of South Alabama,105700,5,1045.0,0.4003,0.5745,0.78158490566037,9232.0,7179.0,0.695334458,14250,51919.71,15204.0
20,Spring Hill College,104100,5,1120.0,0.35,0.6839,0.41322872987961,1227.0,6278.0,0.808411215,20500,59048.32,9657.0
21,Stillman College,104400,5,831.0,0.6818,0.7292,0.56590016825574,1530.0,4770.0,0.397435897,14250,46186.31,16988.0
22,Troy University,104700,5,1046.0,0.4319,0.6246,0.91865685042197,3810.0,6336.0,0.659047619,15000,49132.68,11551.0
23,Tuskegee University,105000,5,955.0,0.4869,0.6484,0.52955239739673,2467.0,6086.0,0.765432099,25000,54155.29,31468.0
24,University of Alaska Fairbanks,106300,8,1058.0,0.228,0.2541,0.7310167310167299,6359.0,9265.0,0.750677507,9500,65084.81,9942.0
25,Alaska Pacific University,106100,8,985.0,0.2761,0.4847,0.38912732474964,479.0,5458.0,0.827160494,16375,70542.98,18218.0
26,Arizona State University-Tempe,108100,6,1143.0,0.3138,0.4317,0.76481835564053,33985.0,10941.0,0.739734885,14500,69074.33,11337.0
27,Prescott College,2065300,6,1039.0,0.4397,0.5991,0.7042682926829201,757.0,4386.0,0.787234043,14988,62739.99,22180.0
28,Arizona Christian University,711300,6,997.0,0.2809,0.4098,0.51234567901234,60.0,5155.0,0.828125,9500,65520.64,27570.0
29,University of Arkansas at Little Rock,110100,5,990.0,0.4,0.4702,0.89834881320949,8283.0,7511.0,0.679396092,12000,51732.17,12218.0
30,Lyon College,108800,5,1120.0,0.4262,0.6526,0.59116365899191,471.0,6277.0,0.752688172,12000,48616.43,17003.0
31,University of Arkansas,110800,5,1154.0,0.2295,0.3998,0.60057443286924,12502.0,9169.0,0.801935117,14500,52450.53,14546.0
32,University of Arkansas at Pine Bluff,108600,5,871.0,0.723,0.6964,0.46159029649595,2926.0,5795.0,0.573929961,12500,42634.24,7959.0
33,Arkansas State University-Main Campus,109000,5,1088.0,0.4565,0.5406,0.7023943135054201,9289.0,6920.0,0.678571429,12500,42159.88,12152.0
34,University of Central Arkansas,109200,5,1068.0,0.4138,0.5169,0.9217855026664,7471.0,6696.0,0.753255655,11250,48705.91,13063.0
35,Central Baptist College,109300,5,968.0,0.4336,0.6061,0.4748603351955301,381.0,5244.0,0.676923077,12000,50351.38,15829.0
36,Harding University,109700,5,1135.0,0.2584,0.5576,0.99201596806387,3982.0,7200.0,0.837471783,19500,61757.88,17276.0
37,Henderson State University,109800,5,988.0,0.5452,0.6087,0.63338615953512,3182.0,6427.0,0.651162791,9500,45548.96,9937.0
38,Hendrix College,109900,5,1270.0,0.2035,0.4939,0.82380396732788,1129.0,7401.0,0.844311377,19500,63550.03,25503.0
39,John Brown University,110000,5,1209.0,0.2846,0.4603,0.7375643224699799,1404.0,6635.0,0.844129555,18723,56884.69,19234.0
40,Ouachita Baptist University,110200,5,1120.0,0.2751,0.5789,0.6845407872219,1714.0,6227.0,0.90821256,15750,61306.22,19251.0
41,University of the Ozarks,109400,5,1034.0,0.4327,0.4736,0.96774193548387,622.0,4672.0,0.807692308,10100,51329.59,14723.0
42,Williams Baptist College,110600,5,1010.0,0.4786,0.6375,0.63745704467353,660.0,5465.0,0.716666667,9980,42485.2,14731.0
43,Southern Arkansas University Main Campus,110700,5,988.0,0.4944,0.4891,0.67478260869565,2781.0,6291.0,0.676122931,9500,42416.87,11328.0
44,Azusa Pacific University,111700,8,1080.0,0.3427,0.6249,0.80900723208415,3453.0,9217.0,0.83127572,18500,73950.46,27183.0
45,Biola University,112200,8,1115.0,0.3163,0.6129,0.69850283944243,2797.0,9151.0,0.904358354,19500,75484.4,31113.0
46,California Baptist University,112500,8,960.0,0.5643,0.759,0.65406698564593,1524.0,8816.0,0.777142857,20260,66849.57,30628.0
47,California Institute of Technology,113100,8,1544.0,0.1292,0.2096,0.08807254841684,929.0,18636.0,PrivacySuppressed,12900,81448.64,24760.0
48,California Lutheran University,113300,8,1109.0,0.2386,0.5178,0.61561881564926,1816.0,9938.0,0.909365559,19000,81648.78,28487.0
49,California Polytechnic State University-San Luis Obispo,114300,8,1259.0,0.1943,0.3328,0.31292182827851,15867.0,9020.0,0.930035651,16500,74683.78,17661.0
50,California State University-San Bernardino,114200,8,887.0,0.6163,0.4088,0.6458997392060201,10273.0,8663.0,0.592143906,13500,59070.9,6679.0
51,California State Polytechnic University-Pomona,114400,8,1066.0,0.4615,0.3662,0.39305863240289,16436.0,9373.0,PrivacySuppressed,15334,68064.96,13390.0
52,California State University-Chico,114600,8,1003.0,0.435,0.4516,0.63449033391915,13907.0,8733.0,0.795935648,14500,61867.44,13365.0
53,California State University-Fresno,114700,8,897.0,0.5633,0.3181,0.52191794563145,15413.0,8372.0,0.76980506,12000,53295.09,6112.0
54,California State University-Fullerton,113700,8,1024.0,0.4429,0.306,0.41860854186085,23385.0,8854.0,0.794912985,12500,73036.4,7454.0
55,California State University-Long Beach,113900,8,1056.0,0.5049,0.379,0.33815760037171,25153.0,8839.0,0.824627748,13242.5,66954.9,9163.0
56,California State University-Los Angeles,114000,8,874.0,0.6773,0.3204,0.6813373096844999,13476.0,8879.0,0.7425,11223,52850.08,3227.0
57,California State University-Northridge,115300,8,902.0,0.5334,0.3328,0.45598652885843,22553.0,8737.0,0.766814721,11000,64055.44,6797.0
58,California State University-Sacramento,115000,8,948.0,0.5298,0.3769,0.67252766478589,20342.0,8631.0,0.666666667,12500,65686.13,8710.0
59,University of California-Berkeley,131200,8,1397.0,0.3114,0.2602,0.16883627191259,22678.0,15711.0,0.840388619,13197,77601.85,13262.0
60,University of California-Davis,131300,8,1226.0,0.4123,0.3933,0.37952385375065,20388.0,13125.0,0.89010989,12757,76621.08,15052.0
61,University of California-Irvine,131400,8,1175.0,0.4602,0.4231,0.38681992337164,16223.0,13773.0,0.821611002,15000,78085.65,13648.0
62,University of California-Los Angeles,131500,8,1339.0,0.3524,0.3501,0.17279102384291,25011.0,16471.0,0.853698075,15000,72896.84,13328.0
63,University of California-Riverside,131600,8,1119.0,0.568,0.5378,0.55599698787359,11436.0,12265.0,0.648148148,17000,68292.12,11779.0
64,University of California-San Diego,131700,8,1344.0,0.3844,0.3909,0.33736436889099003,16496.0,14032.0,0.895872673,17000,76397.62,13913.0
65,University of California-Santa Barbara,132000,8,1248.0,0.3806,0.4025,0.32644323466031,17538.0,14327.0,0.803810868,15000,73046.19,14767.0
66,University of California-Santa Cruz,132100,8,1201.0,0.4534,0.5256,0.50287709742598,11075.0,13104.0,0.804069767,17200,78075.09,17222.0
67,Chapman University,116400,8,1217.0,0.198,0.6429,0.47578639356254,2953.0,11160.0,0.740701382,18500,73437.32,36367.0
68,Concordia University-Irvine,2070500,8,1029.0,0.2805,0.6324,0.59170653907496,1184.0,6919.0,0.883408072,18000,79890.85,25548.0
69,San Diego Christian College,1203100,8,933.0,0.5436,0.8957,0.51732101616628,675.0,6103.0,0.748201439,15333.5,66943.92,26521.0
70,Claremont McKenna College,117000,8,1408.0,0.1153,0.1514,0.10955841252096,1003.0,13270.0,PrivacySuppressed,12495,82855.72,24298.0
71,Dominican University of California,119600,8,1054.0,0.2909,0.6909,0.7883379247015599,946.0,9099.0,0.80794702,25000,79219.91,33496.0
72,Fresno Pacific University,125300,8,988.0,0.5603,0.6812,0.63127413127413,878.0,6641.0,0.685714286,18000,53503.12,16117.0
73,Harvey Mudd College,117100,8,1484.0,0.1269,0.398,0.12964311726147,717.0,12984.0,PrivacySuppressed,24500,82806.61,29865.0
74,Holy Names University,118300,8,858.0,0.4861,0.8367,0.43004587155963,592.0,8273.0,PrivacySuppressed,20083,72379.02,25533.0
75,Humboldt State University,114900,8,990.0,0.5348,0.5467,0.7700107543401401,6469.0,8579.0,0.711592837,14000,57400.36,13148.0
76,Life Pacific College,2270600,8,901.0,0.4708,0.6328,0.63839285714285,488.0,6454.0,0.787234043,13000,65850.07,18192.0
77,University of La Verne,121600,8,1034.0,0.4583,0.6569,0.4718180706687801,3319.0,8492.0,0.667180277,22000,67082.29,20606.0
78,La Sierra University,121500,8,929.0,0.5196,0.6885,0.44616451016635,1217.0,7339.0,0.760416667,15334,63313.83,21904.0
79,The Master's University and Seminary,122000,8,1091.0,0.3045,0.5391,0.9469387755102,1118.0,5961.0,0.915322581,16000,71662.94,24540.0
80,Loyola Marymount University,1164900,8,1222.0,0.1957,0.4516,0.50782661047561,2430.0,10292.0,0.877601998,19500,78631.93,37606.0
81,Menlo College,123600,8,1018.0,0.3186,0.5038,0.38077709611451,649.0,11474.0,0.758241758,15750,80580.15,28725.0
82,Mills College,123800,8,1183.0,0.5016,0.7448,0.71556550951847,684.0,9392.0,0.758064516,19500,71756.45,25097.0
83,Mount Saint Mary's University,124300,8,915.0,0.5806,0.8756,0.7652679684254201,1708.0,8226.0,0.799682035,20000,59943.9,27949.0
84,Notre Dame de Namur University,117900,8,910.0,0.4406,0.674,0.86666666666666,987.0,8293.0,0.833333333,19500,89560.16,25723.0
85,Occidental College,124900,8,1304.0,0.202,0.4975,0.44865504990695,1703.0,10885.0,0.947916667,21500,75275.66,28630.0
86,Otis College of Art and Design,125100,8,1045.0,0.4273,0.5645,0.90363815142576,896.0,7927.0,0.813229572,25000,73811.67,34829.0
87,Hope International University,125200,8,910.0,0.5491,0.7722,0.34253092293054,637.0,6750.0,0.719298246,17750,71774.01,21651.0
88,Pacific Union College,125800,8,984.0,0.4665,0.7756,0.45222929936305,1465.0,6092.0,0.864485981,20917,69255.78,22661.0
89,University of the Pacific,132900,8,1152.0,0.3738,0.5601,0.64558100906637,3093.0,10663.0,0.830110497,20500,72621.06,30108.0
90,Pepperdine University,1014900,8,1226.0,0.18600000000000005,0.4112,0.38103396150357,3068.0,11858.0,0.848366013,23863.5,79068.51,33314.0
91,Point Loma Nazarene University,126200,8,1148.0,0.2699,0.6106,0.71342114631541,2304.0,9741.0,0.908695652,18065,71269.62,31473.0
92,Pomona College,117300,8,1435.0,0.1982,0.1467,0.10297567600938,1574.0,12644.0,PrivacySuppressed,10000,76544.99,14908.0
93,University of Redlands,132200,8,1130.0,0.2993,0.6274,0.67515657620041,3015.0,9954.0,0.836507937,25000,68599.2,28859.0
94,San Diego State University,115100,8,1130.0,0.3764,0.3375,0.34412626373812,25658.0,9532.0,0.755839058,13938.5,68953.33,13475.0
95,University of San Diego,1039500,8,1236.0,0.1773,0.4092,0.51678244972577,4793.0,12116.0,0.857623318,20000,79883.39,33865.0
96,San Francisco State University,115400,8,979.0,0.4495,0.3747,0.67880530721485,20365.0,9411.0,0.718116976,13503.5,77495.51,12768.0
97,University of San Francisco,132500,8,1172.0,0.2535,0.4678,0.64357780364765,4664.0,12851.0,0.83491062,21500,82472.56,33655.0
98,William Jessup University,128100,8,1012.0,0.4284,0.6719,0.76053639846743,395.0,6928.0,0.849315069,15000,76498.11,19700.0
99,San Jose State University,115500,8,1055.0,0.4245,0.3436,0.5522495422443101,20711.0,9489.0,0.860326895,12500,88589.14,13183.0
100,Santa Clara University,132600,8,1313.0,0.1205,0.3288,0.48795221155782,4308.0,12133.0,0.915119363,19500,93581.09,34425.0
101,Scripps College,117400,8,1362.0,0.108,0.3313,0.27898966704936,787.0,11220.0,PrivacySuppressed,12500,79153.99,28126.0
102,Simpson University,129100,8,1001.0,0.5562,0.9466,0.51524879614767,1026.0,6205.0,0.758007117,16500,55586.54,19739.0
103,Saint Mary's College of California,130200,8,1124.0,0.2588,0.6249,0.97535117943281,3035.0,9903.0,0.866962306,21250,84232.87,32721.0
104,Sonoma State University,115600,8,996.0,0.3268,0.4118,0.7655420897477799,6211.0,8815.0,0.770761246,13610.5,75511.05,15710.0
105,Vanguard University of Southern California,129300,8,975.0,0.4137,0.8078,0.68258238063214,1470.0,8439.0,0.795665635,19500,75891.29,23052.0
106,Southern California Institute of Architecture,2075800,8,1116.0,0.3118,0.2814,0.73364485981308,19.0,12204.0,0.717948718,36923,66525.34,52073.0
107,University of Southern California,132800,8,1391.0,0.2307,0.3569,0.17681611586164,15705.0,13461.0,0.883161512,21500,76787.41,29174.0
108,Thomas Aquinas College,2358000,8,1280.0,0.3545,0.7222,0.75132275132275,277.0,9366.0,PrivacySuppressed,16500,67656.24,22199.0
109,Westmont College,134100,8,1179.0,0.2069,0.5823,0.81222917669715,1323.0,7058.0,0.933014354,19500,78788.61,30787.0
110,Whittier College,134200,8,1057.0,0.369,0.7153,0.62615562403698,1294.0,8907.0,0.81294964,22998,73825.46,36005.0
111,Woodbury University,134300,8,944.0,0.4432,0.6076,0.57600596125186,1135.0,6783.0,0.81595092,28200,60713.37,27920.0
112,Adams State University,134500,7,954.0,0.5051,0.6062,0.64351851851851,2080.0,5999.0,0.672839506,10992,50726.71,16212.0
113,University of Colorado Denver/Anschutz Medical Campus,450800,7,1055.0,0.2751,0.3535,0.6741729541497299,8093.0,9877.0,0.806887238,13000,74050.41,14519.0
114,University of Colorado Colorado Springs,450900,7,1088.0,0.3202,0.4827,0.92063683512242,4967.0,7831.0,0.794830372,12500,70639.18,14649.0
115,University of Colorado Boulder,137000,7,1212.0,0.1723,0.3068,0.7962011173184301,23612.0,10687.0,0.830860534,13750,81327.65,21806.0
116,Colorado School of Mines,134800,7,1339.0,0.1688,0.4428,0.3767018379850201,2559.0,10786.0,0.958990536,22000,74353.28,24929.0
117,Colorado State University-Fort Collins,135000,7,1145.0,0.2427,0.4477,0.80820219874973,20728.0,9422.0,0.820435967,15781,73818.06,16777.0
118,University of Denver,137100,7,1249.0,0.1717,0.3814,0.72745411013567,3992.0,10495.0,0.873487349,19500,78120.26,28839.0
119,Fort Lewis College,135300,7,1012.0,0.3417,0.4732,0.85958132045088,4285.0,7078.0,0.747810858,10500,61685.3,15836.0
120,Colorado Mesa University,135800,7,952.0,0.3886,0.5463,0.8305847076461701,5092.0,6609.0,0.7920434,11000,56304.4,16507.0
121,Metropolitan State University of Denver,136000,7,971.0,0.3717,0.4729,0.6521810971579599,17688.0,6302.0,0.758007117,13250,71857.86,9521.0
122,University of Northern Colorado,134900,7,1031.0,0.341,0.5682,0.89346213075738,10213.0,7624.0,0.834288692,16750,72445.43,18946.0
123,Regis University,136300,7,1092.0,0.2629,0.5277,0.65701802293828,5446.0,7193.0,0.661764706,18789,74280.35,23604.0
124,Colorado State University-Pueblo,136500,7,970.0,0.3804,0.6629,0.95888637099384,5303.0,6546.0,0.741935484,12500,54713.6,12701.0
125,Western State Colorado University,137200,7,964.0,0.2542,0.5117,0.97608828939301,2325.0,6404.0,PrivacySuppressed,12000,68547.81,15530.0
126,University of Bridgeport,141600,1,926.0,0.4853,0.6994,0.51767865135014,1277.0,7516.0,0.762589928,18250,63241.6,24122.0
127,Central Connecticut State University,137800,1,1011.0,0.3533,0.5742,0.58669122726226,9443.0,9118.0,0.778489117,16144,75579.11,17291.0
128,University of Connecticut,141700,1,1233.0,0.212,0.4969,0.53375,13251.0,12269.0,0.910939013,18750,80999.86,20023.0
129,University of Hartford,142200,1,1050.0,0.2837,0.6757,0.63506261180679,5367.0,7624.0,0.827718961,18709.5,82221.8,29722.0
130,University of New Haven,139700,1,1066.0,0.2579,0.6815,0.8211760327502701,2537.0,9622.0,0.860856269,21500,77310.15,29933.0
131,Post University,140100,1,893.0,0.4857,0.5478,0.81132861307788,1356.0,6109.0,0.72327044,7790.5,67090.63,37101.0
132,Quinnipiac University,140200,1,1095.0,0.161,0.6048,0.7370850736425502,4843.0,10796.0,0.910278746,22000,87986.1,35653.0
133,University of Saint Joseph,140900,1,932.0,0.3566,0.7335,0.92676431424767,1227.0,8002.0,0.857677903,23500,74607.0,23483.0
134,St Vincent's College,619100,1,905.0,0.269,0.5686,0.8533333333333301,265.0,6081.0,0.769230769,15000,70910.63,14462.0
135,Southern Connecticut State University,140600,1,918.0,0.3726,0.6161,0.64600024651793,8080.0,8993.0,0.786266094,15738,74581.97,15240.0
136,Yale University,142600,1,1498.0,0.1287,0.1039,0.06727080301627,5351.0,16516.0,0.913357401,13000,75345.96,20910.0
137,Delaware State University,142800,2,892.0,0.4715,0.6523,0.44429431273799,2855.0,7202.0,0.541666667,19500,60801.87,16099.0
138,University of Delaware,143100,2,1198.0,0.1398,0.5213,0.66592982597162,16110.0,12188.0,0.890909091,21500,84189.75,15992.0
139,Wesley College,143300,2,836.0,0.5253,0.8657,0.62552456183658,1513.0,7134.0,0.690666667,11000,70367.14,22675.0
140,American University,143400,2,1252.0,0.1714,0.46,0.35016432626232,5701.0,11203.0,0.863348416,20500,81657.17,36480.0
141,Gallaudet University,144300,2,883.0,0.5247,0.42,0.61916461916461,1258.0,9996.0,0.715189873,11850,65746.56,14764.0
142,George Washington University,144400,2,1294.0,0.1451,0.399,0.46458637898875,8837.0,13364.0,0.910714286,21900,85677.46,33637.0
143,Georgetown University,144500,2,1416.0,0.126,0.2749,0.17239963035219,6418.0,13979.0,0.924722662,14750,82187.36,30580.0
144,Howard University,144800,2,1105.0,0.4901,0.8370000000000001,0.49040427356064,6569.0,9092.0,0.489632107,22500,66680.2,24729.0
145,The Baptist College of Florida,2159600,5,946.0,0.6812,0.5983,0.52173913043478,549.0,4834.0,0.641025641,12918,50305.97,9118.0
146,Barry University,146600,5,926.0,0.5093,0.6572,0.55059760956175,5777.0,7762.0,0.617627568,21500,58621.88,23635.0
147,Lynn University,150500,5,999.0,0.1943,0.496,0.75968169761273,1817.0,5306.0,0.620853081,10000,78627.36,33586.0
148,Johnson University Florida,349503,5,1009.0,0.5747,0.6968,0.5043478260869501,222.0,6959.0,PrivacySuppressed,14250,59004.31,15850.0
149,University of Central Florida,395400,5,1179.0,0.3858,0.4409,0.48574721691217,28252.0,9257.0,0.74870792,14500,62518.63,14221.0
150,Eckerd College,148700,5,1134.0,0.2165,0.6855,0.71717401181281,1572.0,6989.0,0.771875,20000,68211.73,31097.0
151,Edward Waters College,147800,5,781.0,0.816,0.8262,0.5371309275275801,987.0,4892.0,0.304878049,10250,47937.99,11820.0
152,Florida Agricultural and Mechanical University,148000,5,966.0,0.6113,0.6765,0.51406035665294,10707.0,8287.0,0.550653595,23000,52786.24,11679.0
153,Florida Atlantic University,148100,5,1047.0,0.3958,0.3863,0.67678424938474,17496.0,8446.0,0.712536443,12000,63066.25,13427.0
154,Flagler College-St Augustine,789300,5,1071.0,0.3027,0.6082,0.50475285171102,1830.0,6266.0,0.718829517,15750,63843.09,21426.0
155,Florida College,148200,5,1008.0,0.3387,0.6216,0.8114478114478101,537.0,6993.0,0.893617021,10000,63903.31,21025.0
156,Adventist University of Health Sciences,3115500,5,928.0,0.3769,0.6026,0.6031746031746,581.0,7013.0,0.754158965,16436,60028.37,16376.0
157,Florida Institute of Technology,146900,5,1194.0,0.2167,0.3674,0.57357841556487,2033.0,9302.0,0.885714286,9500,68086.59,28474.0
158,Florida International University,963500,5,1090.0,0.5526,0.6441,0.50396418244566,26222.0,9923.0,0.729080365,13600,58110.89,12427.0
159,Florida Southern College,148800,5,1172.0,0.2878,0.6582,0.45331179321486,2334.0,6809.0,0.712962963,14500,60789.21,24482.0
160,Florida State University,148900,5,1215.0,0.3182,0.4591,0.55900496178087,27021.0,10204.0,0.772094529,18600,60914.47,15664.0
161,University of Florida,153500,5,1272.0,0.3029,0.3053,0.47715923182625,32680.0,10955.0,0.759671533,14750,60120.16,12022.0
162,University of Miami,153600,5,1319.0,0.1611,0.2799,0.37786887698614,8955.0,11529.0,0.848802395,18000,71124.0,32746.0
163,University of North Florida,984100,5,1140.0,0.3141,0.3925,0.5660429279031299,10663.0,7888.0,0.734375,12500,62628.24,13621.0
164,Nova Southeastern University,150900,5,1130.0,0.4212,0.5595,0.59243018693745,4110.0,9731.0,0.648671096,18750,62876.89,23765.0
165,Palm Beach Atlantic University,884900,5,1065.0,0.337,0.523,0.92885638297872,1964.0,7400.0,0.751987281,15000,64221.06,21934.0
166,University of South Florida-Main Campus,153700,5,1167.0,0.407,0.4611,0.44799911133327,27384.0,9382.0,0.728743546,16117,58397.57,11232.0
167,St Thomas University,146800,5,924.0,0.4696,0.5838,0.48917197452229,1221.0,10047.0,0.647840532,15500,56846.82,25116.0
168,Southeastern University,152100,5,955.0,0.4095,0.5885,0.46481820559769,1232.0,7214.0,0.767705382,11501,60101.07,21534.0
169,The University of Tampa,153800,5,1092.0,0.2415,0.6203,0.50739810907536,2961.0,8739.0,0.798042705,16883,71934.52,27580.0
170,Trinity Baptist College,3101900,5,845.0,0.6346,0.8725,0.8634146341463399,362.0,3465.0,PrivacySuppressed,5750,58249.91,13286.0
171,Trinity College of Florida,3028200,5,898.0,0.6463,0.7249,0.7368421052631501,147.0,4658.0,0.581395349,14250,55309.46,17952.0
172,Warner University,884800,5,879.0,0.6879,0.8531,0.512,1001.0,4734.0,0.610909091,16250,52491.75,15393.0
173,Webber International University,154000,5,902.0,0.4294,0.5735,0.55201958384332,419.0,4269.0,0.6,10250,55372.47,23029.0
174,The University of West Florida,395500,5,1053.0,0.4165,0.716,0.41539977477477,6753.0,7771.0,0.691558442,12500,54753.42,11184.0
175,Abraham Baldwin Agricultural College,154100,5,933.0,0.4586,0.4485,0.7730870712401,2630.0,5083.0,0.691756272,7121,46480.92,8367.0
176,Albany State University,154400,5,883.0,0.7313,0.8736,0.6370673952641099,3129.0,5640.0,0.353535354,25404.5,52181.09,12439.0
177,Armstrong State University,154600,5,997.0,0.4587,0.5761,0.73949230129005,4988.0,5857.0,0.73318872,13000,56704.76,19265.0
178,Point University,154700,5,910.0,0.5867,0.7569,0.4907192575406,385.0,6088.0,0.585858586,14000,69033.68,15977.0
179,Clark Atlanta University,155900,5,850.0,0.718,0.8590000000000001,0.5120195099291599,4030.0,6997.0,0.482894737,19500,60451.55,32947.0
180,Berry College,155400,5,1179.0,0.2451,0.5453,0.5537152058891099,1822.0,7637.0,0.882165605,17062,70464.52,21181.0
181,Brenau University,155600,5,990.0,0.5031,0.7406,0.6561962134251199,1469.0,6865.0,0.720720721,15000,67048.19,25218.0
182,College of Coastal Georgia,155800,5,935.0,0.5096,0.4674,0.94988434849653,1912.0,5851.0,0.708333333,7265.5,50342.2,12572.0
183,Columbus State University,156100,5,961.0,0.4702,0.5961,0.55685777636997,4450.0,6258.0,0.561465721,14257.5,55979.92,11422.0
184,Covenant College,348400,5,1189.0,0.2733,0.5303,0.93983739837398,1074.0,7385.0,PrivacySuppressed,18937.5,63670.68,23742.0
185,Emmanuel College,156300,5,930.0,0.4877,0.6115,0.33878064110622,786.0,5035.0,0.682634731,10558,50422.48,15219.0
186,Emory University,156400,5,1366.0,0.2032,0.3282,0.28488718321974,6316.0,13190.0,0.880895284,15500,80509.92,25941.0
187,Fort Valley State University,156600,5,865.0,0.7577,0.8528,0.20507614213197,2212.0,3940.0,0.496062992,26000,53364.82,14782.0
188,Georgia Institute of Technology-Main Campus,156900,5,1403.0,0.1699,0.3075,0.32169960039593,10745.0,12149.0,0.928638941,21500,77933.64,11574.0
189,Georgia Southwestern State University,157300,5,967.0,0.4622,0.59,0.71636675235646,1981.0,5878.0,0.720496894,12993.5,49591.36,12644.0
190,Georgia College and State University,160200,5,1143.0,0.203,0.4537,0.75655241935483,3976.0,6576.0,0.809466019,16338.5,68382.02,17283.0
191,Georgia Southern University,157200,5,1089.0,0.3796,0.6203,0.60229748465042,12648.0,6549.0,0.695224207,17000,62772.56,16963.0
192,Georgia State University,157400,5,1056.0,0.5268,0.5816,0.56649964209019,16444.0,8580.0,0.616204691,16750,72190.32,14290.0
193,University of Georgia,159800,5,1252.0,0.2292,0.3797,0.52877648667122,24213.0,10676.0,0.780479085,17250,71225.06,12023.0
194,Gordon State College,157500,5,851.0,0.5503,0.5562,0.5673387096774101,2890.0,5229.0,0.618705036,8250,63654.05,11187.0
195,LaGrange College,157800,5,1012.0,0.4409,0.7807,0.57254901960784,876.0,5956.0,0.75,14250,61341.56,20328.0
196,Mercer University,158000,5,1217.0,0.3475,0.5411,0.6687870146961999,2156.0,8118.0,0.6734375,20457,67164.94,20423.0
197,Morehouse College,158200,5,978.0,0.4931,0.7065,0.75961538461538,2970.0,7247.0,0.518867925,21691,61675.05,29796.0
198,Oglethorpe University,158600,5,1140.0,0.394,0.7377,0.7846820809248499,1169.0,6568.0,0.705583756,16000,73815.08,19936.0
199,Paine College,158700,5,749.0,0.7993,0.8759999999999999,0.30633245382584995,163.0,4880.0,0.275510204,14250,51038.61,18387.0
200,Piedmont College,158800,5,995.0,0.4737,0.6998,0.5700440528634301,1026.0,6172.0,0.6,15591.5,58219.12,16424.0
201,Reinhardt University,158900,5,953.0,0.4303,0.5855,0.90759930915371,1108.0,5448.0,PrivacySuppressed,10150,75577.26,20310.0
202,Savannah College of Art and Design,2141500,5,1064.0,0.2471,0.4754,0.6991159435016701,4249.0,8676.0,0.679523539,21000,71588.69,36902.0
203,Savannah State University,159000,5,847.0,0.745,0.8341,0.8264406779661,2070.0,5428.0,0.321814255,14250,54220.88,11009.0
204,Shorter University,159100,5,969.0,0.4743,0.6662,0.62644026682838,1889.0,5144.0,0.6,21517,65365.08,18864.0
205,Spelman College,159400,5,1015.0,0.4815,0.7096,0.48327063947733,1888.0,7678.0,0.678240741,25250,63157.84,34232.0
206,Toccoa Falls College,159600,5,997.0,0.4859,0.6109,0.45454545454545,900.0,5182.0,0.880733945,13875,59357.86,18783.0
207,Truett McConnell University,159700,5,938.0,0.2183,0.258,0.91134020618556,2033.0,3837.0,0.709090909,12000,62186.38,17464.0
208,Valdosta State University,159900,5,993.0,0.4708,0.6521,0.50431344356578,7482.0,6073.0,0.658204896,16500,57353.47,13990.0
209,University of West Georgia,160100,5,945.0,0.4941,0.6629,0.5687991876110601,7109.0,6125.0,0.622903412,13525,66454.08,15365.0
210,Young Harris College,160400,5,974.0,0.39,0.6002,0.52195340501792,620.0,6079.0,0.852941177,12000,65588.3,16074.0
211,Chaminade University of Honolulu,160500,8,966.0,0.436,0.4049,0.8203125,2038.0,7789.0,0.686619718,12917,72476.63,20543.0
212,University of Hawaii at Hilo,161100,8,926.0,0.4839,0.459,0.7125243348475,2646.0,9277.0,0.743434343,12350,59308.27,11029.0
213,University of Hawaii at Manoa,161000,8,1067.0,0.3105,0.3788,0.81417425227568,11721.0,11189.0,0.849573691,13750,71646.27,13441.0
214,Boise Bible College,2234500,7,1045.0,0.659,0.4566,0.98148148148148,128.0,4224.0,0.617647059,17395.5,55318.91,21477.0
215,Boise State University,161600,7,1046.0,0.3312,0.4379,0.79573320255026,14756.0,7272.0,0.721539722,15250,58298.66,13718.0
216,University of Idaho,162600,7,1061.0,0.3925,0.5263,0.7205408886026999,8759.0,8410.0,0.80159787,16985,54125.14,13709.0
217,Lewis-Clark State College,162100,7,939.0,0.3529,0.4389,0.98882681564245,2693.0,5742.0,0.831683168,11726,49266.88,14916.0
218,Northwest Nazarene University,162400,7,1056.0,0.3543,0.6181,0.56261799874134,1110.0,5434.0,0.894736842,19500,59470.41,19432.0
