,x_coordinate,y_coordinate,x_scaled,y_scaled
0,17,4,0.5093490504878759,0.0900098453652847
1,20,6,0.59923417704456,0.13501476804792703
2,35,0,1.04865980982798,0.0
3,14,0,0.419463923931192,0.0
4,37,4,1.1085832275324359,0.0900098453652847
5,33,3,0.9887363921235239,0.06750738402396352
6,14,1,0.419463923931192,0.022502461341321174
7,30,6,0.8988512655668399,0.13501476804792703
8,35,5,1.04865980982798,0.11251230670660586
9,17,4,0.5093490504878759,0.0900098453652847
10,11,6,0.32957879737450796,0.13501476804792703
11,21,10,0.629195885896788,0.22502461341321173
12,13,8,0.389502215078964,0.1800196907305694
13,10,10,0.29961708852228,0.22502461341321173
14,81,97,2.426898417030468,2.182738750108154
15,84,94,2.516783543587152,2.11523136608419
16,87,99,2.606668670143836,2.227743672790796
17,83,95,2.486821834734924,2.1377338274255115
18,90,95,2.69655379670052,2.1377338274255115
19,97,97,2.9062857586661157,2.182738750108154
20,94,99,2.8164006321094317,2.227743672790796
21,88,99,2.6366303789960637,2.227743672790796
22,89,94,2.666592087848292,2.11523136608419
23,93,99,2.786438923257204,2.227743672790796
24,92,90,2.756477214404976,2.0252215207189055
25,82,98,2.4568601258826956,2.205241211449475
26,81,100,2.426898417030468,2.250246134132117
27,92,93,2.756477214404976,2.092728904742869
28,91,98,2.7265155055527477,2.205241211449475
29,22,15,0.6591575947490159,0.3375369201198176
30,23,10,0.689119303601244,0.22502461341321173
31,25,0,0.7490427213056999,0.0
32,25,10,0.7490427213056999,0.22502461341321173
33,27,7,0.8089661390101559,0.15751722938924823
34,17,17,0.5093490504878759,0.38254184280245995
35,17,15,0.5093490504878759,0.3375369201198176
