,sliding_tackle,aggression,scaled_sliding_tackle,scaled_aggression
0,23,63,0.9676714731426067,3.7238430948229744
1,26,48,1.093889491378599,2.83721378653179
2,33,56,1.3883982005959141,3.3100827509537547
3,38,78,1.5987615643225677,4.610472403114159
4,11,29,0.462799400198638,1.7141499960296231
5,19,80,0.7993807821612838,4.72868964421965
6,13,38,0.5469447456892995,2.2461275810043335
7,22,54,0.925598800397276,3.1918655098482636
8,69,60,2.9030144194278202,3.5465172331647374
9,18,50,0.7573081094159531,2.9554310276372813
10,91,84,3.828613219825096,4.9651241264306325
11,40,68,1.6829069098132292,4.0193861975867025
12,16,23,0.6731627639252916,1.3594982727131493
13,35,80,1.4725435460865755,4.72868964421965
14,73,62,3.0713051104091433,3.6647344742702286
15,52,65,2.187778982757198,3.8420603359284655
16,12,63,0.5048720729439687,3.7238430948229744
17,90,92,3.7865405470797655,5.437993090852597
18,11,38,0.462799400198638,2.2461275810043335
19,20,48,0.8414534549066146,2.83721378653179
20,18,34,0.7573081094159531,2.0096930987933512
21,11,69,0.462799400198638,4.078494818139448
22,62,57,2.608505710210505,3.3691913715065005
23,36,43,1.5146162188319061,2.5416706837680616
24,88,82,3.702395201589104,4.846906885325141
25,90,82,3.7865405470797655,4.846906885325141
26,89,88,3.744467874334435,5.201558608641615
27,90,66,3.7865405470797655,3.9011689564812113
28,19,48,0.7993807821612838,2.83721378653179
29,18,31,0.7573081094159531,1.8323672371351143
30,88,77,3.702395201589104,4.551363782561413
31,27,84,1.1359621641239297,4.9651241264306325
32,26,47,1.093889491378599,2.7781051659790443
33,85,90,3.5761771833531117,5.319775849747106
34,79,89,3.3237411468811273,5.26066722919436
35,66,75,2.7767964011918282,4.433146541455922
36,22,44,0.925598800397276,2.6007793043208074
37,85,93,3.5761771833531117,5.497101711405343
38,27,84,1.1359621641239297,4.9651241264306325
39,87,84,3.6603225288437735,4.9651241264306325
40,62,56,2.608505710210505,3.3100827509537547
41,53,67,2.2298516555025287,3.9602775770339567
42,29,51,1.220107509614591,3.0145396481900266
43,13,25,0.5469447456892995,1.4777155138186406
44,86,72,3.618249856098443,4.255820679797685
45,56,58,2.3560696737385207,3.4282999920592463
46,38,74,1.5987615643225677,4.374037920903176
47,30,65,1.262180182359922,3.8420603359284655
48,51,58,2.145706310011867,3.4282999920592463
49,83,69,3.4920318378624504,4.078494818139448
50,30,72,1.262180182359922,4.255820679797685
51,84,82,3.534104510607781,4.846906885325141
52,44,57,1.851197600794552,3.3691913715065005
53,80,85,3.3658138196264584,5.024232746983378
54,40,55,1.6829069098132292,3.2509741304010094
55,46,49,1.9353429462852134,2.8963224070845355
56,85,81,3.5761771833531117,4.787798264772396
57,84,86,3.534104510607781,5.083341367536123
58,34,93,1.4304708733412448,5.497101711405343
59,88,88,3.702395201589104,5.201558608641615
60,87,91,3.6603225288437735,5.378884470299852
61,40,59,1.6829069098132292,3.4874086126119916
62,86,91,3.618249856098443,5.378884470299852
63,86,83,3.618249856098443,4.906015505877887
64,12,65,0.5048720729439687,3.8420603359284655
65,62,45,2.608505710210505,2.659887924873553
66,26,52,1.093889491378599,3.0736482687427724
67,87,94,3.6603225288437735,5.556210331958089
68,12,17,0.5048720729439687,1.0048465493966756
69,26,61,1.093889491378599,3.6056258537174832
70,85,77,3.5761771833531117,4.551363782561413
71,20,56,0.8414534549066146,3.3100827509537547
72,86,87,3.618249856098443,5.142449988088869
73,22,34,0.925598800397276,2.0096930987933512
74,51,71,2.145706310011867,4.196712059244939
75,30,70,1.262180182359922,4.137603438692194
