446,the more i analyze this film the worse it becomes first of all why a motivational speaker that part was just stupid i mean why would a megalomaniac trying to control the world rely on a motivational speaker is alexander stone really that disorganized first he can t decide what he wants to do to control the world so he looks to the bible for ideas many of these ideas i might add really have no reliability for example the part of the the houses of ishmael and isaac shall scream out in terror could have already happened it could have been have been the synagogues burned during krystalnacht and the mosques could very well have been the mosques blown up in baghdad or something and gillen lane s family they had no part except to provide a family values platfrom and dab their eyes with water i might add that since casper van dien gillen lane is only in his twenties or that s the impression that i had and has a ten year child he had his child during high school yeah there goes tbn s family values also why did this film have to be so damn propaganda like i ll repeat what an earlier reviewer said the indiana jones flicks use christian mythology as a plot dvice and manipulate it well so that we are intoxicated this film doesn t do that the beginnig starts off well with michael ironsides playing a priest who murders a scholar off some sort and steals the dead guy s omega code then when confronted by two men who he is obviously afraid of the two prophets tell him tell your master that we are here dominic ironsides replies he already knows and points to a small surveillance camera that part sent chills up my spine had only it gone on like that one scene i would have loved this film i ll give michael york credit he does a fine job of acting out his character as does michael ironsides but the good guys are horrible i ve already went on about lane s family now that i m over the acting i ll get on to plot this is obviously a baptist film since our beloved pope of the vatican is portrayed as an oaf the world domination plot i liked and found plausible and subtle as were the action sequences were also thrilling and well done also another diatribe against the vatican their leaders are seen as dogmatically minded since gillen explains to the pope that it s not the end of the world but the beginning of a new one also the vatican or israelis says their going to secede from the world union aince they used the omega code to control the world whoever it was they wouldn t just secede they d send over commandoes and kill them this is the equivalent of america knowing about the kgb going to kill the president and simply saying we re not going to talk to you any more come on i did enjoy the scenes where we see bombers headed towards israel and see them again on the monitor mediocre in short 
937,when i borrowed this movie from a friend thankfully i did not buy it on the package which truly looked bad and ugly was printed the ultimate vampire horror after watching it i thought that the marketing campaign was probably more expensive than the film itself the story begins when a teenager surprise is chased by some vampire zombie creatures lighting sound and everything reminded me of my first attempt to make a holiday video on a ten year old vhs system if not worse i gave the movie a 2 out of 10 and only because the promo t shirts looked kind of cool i don t want to dis film students or splatter movies generally but i ve seen braindead and i ve seen a 20 dollar budget movie from students that was ten times better than this crap 
316,recap a lone swordsman living in the desert and acting as an agent to other swordsmen recollects how his life turned out to be as it is it started with that the woman he loved chose to marry his brother instead causing him to leave his home town one of the swordsmen is huang who is himself in the middle of a complicated love story where a woman wants to have him killed for having ran away from a promise to marry her younger sister but the sister wants to hire a swordsman to have huang protected and everything is put to an edge when the woman and her sister is really the same person comments i ve seen the redux version released in 2008 of the original that was released in 1994 how the two versions differ i can t say but the redux is very heavily stylized in the way of chinese wuxia action that is unfortunate as that style to me seems to have forgotten one of the most important elements of a successful and entertaining movie a comprehensible story but true to its style scenery and visual elements seem much more important and much more in focus of writer and director kar wai wong therefore there are lots of colorful very beautiful scenes that are completely unrelated to the story the editing and timeline of the story is also mishandled much is left out in the scenes the time line is broken and rearranged in a confusing way very slow and calm scenes are suddenly relieved by surprisingly brutal and seemingly unmotivated fights only to themselves being relieved by something else and unrelated the result is a confusing and very uninteresting movie thanks to these brutal but very few fights the movie is put into the action genre the poster and photographs also imply this but could almost be regarded as false marketing only a few minutes out of the 90 could be considered as anything like action the other couldn t be farther away from it the movie in its entirety is very slow dull and hence very boring not even the rare action filled scenes help since they are so disconnected from the rest of the movie i might say that i m not a fan of this chinese style since they often seem to be afflicted of these same problems most importantly that the visual is more important than the story but ashes of time redux is perhaps the worst example i ve seen 3 10
990,christophe lambert once said he was still making movies only to make good and easy money when i see his latest releases i can believe that beowulf is all in all in the good part of the crap movies there are some good thrill scenes indeed the actors themselves aren t too bad but the plot is silly the mortal kombat like music has nothing to do here the ending is really s y really the only good thing about it is that me and my friends could laugh about how uninteresting it was i even wish i wasted my money on something else 
793,a couple of friends and myself visited the video shop a few years back and we were in one of those moods to rent some cheesy non seen flicks my friend grabbed head of the family and we were greeted by a head sitting in a wheelchair well that set us off laughing and we decided to have a bet to see who would be the one who had to go to the desk and pay for the movie well you guessed it it was me i have never been so embarrised in all my life we got home and put it on and we rolled about the floor laughing for about 45mins because this was the funniest film in the world i cant remember much about it but one thing i do remember was the blonde girl getting it on with some guy in the back of a shop every 5 mins that head made me laugh and when i look at other peoples comments aboout this movie it makes me laugh even more head of the family is so good and the head is funny and im still laughing ha ha ha ha ha ha ha
649,budget decent actors who knew these things were important don t waste your time on this piece of junk the effects are crap the acting is crap the only thing that could have made this even tolerable was a little cheap t a and that gets squandered in the first 20 minutes the only even remotely redeeming quality about this movie is the very awkward profanity it was like they found the only 7 people on the planet who have never cursed before hats off if you want to see some dude in a bad suit just go back and look at old prom photos the only way for a bigfoot flick to be any good is for it to have a big budget and some actors who didn t come from frogballs community theater 
182,with harry callahan getting up in years the inevitable old man with a chip on his shoulder story had to come into play eventually callahan looking fragile sometimes and out of place his demeanor still was unwavering thankfully this film took some time off to develop a different type of story one that might reinvent the dirty harry and the whole genre while the film fell short in doing so it was still an excellent addition to the series even if it was getting a little out of place during a time of silly fashion trends and new wave music 
50,human pot roast joe don baker mitchell stars in this dull unremarkable action movie as deputy geronimo a fat gassy slob who sits around in a stupid looking cowboy suit listening to country music and eating too many donuts meanwhile a vaguely criminal guy named palermo played by the guy who owned the drill in fulci s gates of hell stumbles into joe don s territory and shoots the sheriff in a poorly edited scene joe don slowly gives chase and offs palermo s brother after uttering his now legendary catch phrase it s your move think you can take me well go ahead on for some reason joe don a texas lawman must transport palermo to italy mr palermo s been a major source of embarrassment to the italian government says mr wilson another vague character played by bill mckinney who was in master ninja 1 she freak and a lot of good clint eastwood movies anyhoo joe don s plane must land on the island of malta where palermo escapes with the help of a briefcase and a guy who looks like jon lovitz and that s where the movie grinds to a halt for the rest of the movie joe don looks for palermo looses palermo ends up in a jail cell is yelled at by the malta chief of police and then is let go with a warning not to look for palermo any more then joe don keeps looking for palermo looses palermo ends up in a jail cell is yelled at by the malta chief of police and then is let go with a warning not to look for palermo any more then joe don looks for palermo looses palermo ends up in a jail cell is yelled at by the malta chief of police and then is let go with a warning not to look for palermo any more this is one aggravating movie at one point joe don is thought to be dead at sea all the other characters wonder if he s dead or not finally concluding that he is but then he shows up he was rescued by a poor family and no one mentions the fact that he was missing at sea for several days even his cute julia louise dreyfuss esque sidekick doesn t welcome him back she does however offer to help him find palermo so joe don looks for palermo looses palermo ends up in a jail cell is yelled at by the malta chief of police and then let go with a warning not to look for palermo any more highpoints include a bizarre carnival with strange colorful floats some sexy strippers a shoot out involving a kid dressed like napoleon and a cart of tomatoes a chase scene involving a guy dressed like a monk and any scene without joe don lowpoints include joe don threatening a stripper with a coat hanger it should be noted that this is from greydon clark director of angel s revenge who appears as the sheriff ick 
858,superhero movie 2008 is the most recent in the long line over parody movie movies which i despise so much i wish this movie could be the death of the genre but i know that it isn t awful enough to put the final nail in the coffin if meet the spartans is considered the bottom of the barrel as far as hollywood movies go than superhero movie is probably near the top unfortunately meet the spartans was actually miles below the barrel and this movie just barely makes it in superhero movie has a decent cast of c list celebs it s got drake bell the kid from disney s drake and josh leslie nielson airplane tracy morgan snl and 30 rock and a few others scattered throughout although it has the star power to light a 40 watt bulb the movie fails to utilize any humor this movie is about 80 minutes long most of which is dedicated to following the spiderman plot and not one single joke is funny i didn t laugh or chuckle or smirk the entire time don t see this movie don t even think about it for the love of cinema just skip it and maybe they wont come out with another one oh who am i kidding they ll probably come out with another one by fall 
536,i first saw rob roy twelve years ago with little money for entertainment i rented it for my fiancé and i to watch on a bone chilling winter s night the movie i had wanted was gone so i rented this instead not expecting much and was very much surprised with how good it was i just recently watched it again and loved it every bit as much as the first time for those unfamiliar with the story it s about scottish outlaw robert roy macgregor a cattleman and folk hero from the little i know about the man and his story liberties have been taken with the facts but it s a movie not a textbook and so the filmmakers can be excused basically the plot of the movie is that rob roy borrows money from the marquis of montrose to buy cattle which he then intends to sell and reap a large profit from but his plan is foiled when the friend entrusted with the money is robbed of the cash and murdered in the forest our hero finds himself on the run after failing to settle the matter with the marquis and mary his wife suffers a sadistic rape at the hands of archibald cunningham a smarmy englishman with no soul atrocities ensue until in an immensely satisfying conclusion rob carves archibald up like a christmas turkey there are many great performances in this movie but allow me to touch specifically on a few liam neeson as usual is fantastic a sexy beast you can t take your eyes off of honestly this man is like ice cream even when he s bad he s good his rob roy is an honourable man struggling to provide for those who depend on him in the best way he knows how jessica lange as mary gives this woman a fierceness which is a nice change from the simpering dull movie wives audiences are usually forced to endure you just know she doesn t take any b s from rob or anyone else for that matter tim roth is completely over the top with his portrayal of the evil archibald yet somehow it works all the posturing and preening combined with some wicked dialogue result in one of the most memorable movie villains in recent memory combine all of this and the stellar work by other supporting players with the luscious scenery of scotland and you have what amounts to one really really cool movie if you haven t seen this i highly recommend that you do 
