The Dark Knight Rises,0
Batman Forever,1
Batman,2
Batman Returns,3
Batman & Robin,4
Batman: Mask of the Phantasm,5
Batman,6
Batman Begins,7
Batman: Under the Red Hood,8
Batman: Year One,9
"Batman: The Dark Knight Returns, Part 1",10
"Batman: The Dark Knight Returns, Part 2",11
Batman v Superman: Dawn of Justice,12
Toy Story,13
Jumanji,14
Grumpier Old Men,15
Waiting to Exhale,16
Father of the Bride Part II,17
Heat,18
Sabrina,19
Tom and Huck,20
Sudden Death,21
GoldenEye,22
The American President,23
Dracula: Dead and Loving It,24
Balto,25
Nixon,26
Cutthroat Island,27
Casino,28
Sense and Sensibility,29
Four Rooms,30
Ace Ventura: When Nature Calls,31
Money Train,32
Get Shorty,33
Copycat,34
Assassins,35
Powder,36
Leaving Las Vegas,37
Othello,38
Now and Then,39
Persuasion,40
The City of Lost Children,41
Shanghai Triad,42
Dangerous Minds,43
Twelve Monkeys,44
Babe,45
Carrington,46
Dead Man Walking,47
Across the Sea of Time,48
It Takes Two,49
Clueless,50
"Cry, the Beloved Country",51
Richard III,52
Dead Presidents,53
Restoration,54
Mortal Kombat,55
To Die For,56
How To Make An American Quilt,57
Se7en,58
Pocahontas,59
When Night Is Falling,60
The Usual Suspects,61
Mighty Aphrodite,62
Lamerica,63
The Big Green,64
Georgia,65
Home for the Holidays,66
The Postman,67
The Confessional,68
The Indian in the Cupboard,69
Eye for an Eye,70
Mr. Holland's Opus,71
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,72
Two If by Sea,73
Bio-Dome,74
Lawnmower Man 2: Beyond Cyberspace,75
French Twist,76
Friday,77
From Dusk Till Dawn,78
Fair Game,79
Kicking and Screaming,80
Les Miserables,81
Bed of Roses,82
Screamers,83
Nico Icon,84
The Crossing Guard,85
The Juror,86
The White Balloon,87
Things to Do in Denver When You're Dead,88
Antonia's Line,89
Once Upon a Time... When We Were Colored,90
Last Summer in the Hamptons,91
Angels and Insects,92
White Squall,93
Dunston Checks In,94
Black Sheep,95
Nick of Time,96
Mary Reilly,97
Vampire in Brooklyn,98
Beautiful Girls,99
Broken Arrow,100
A Midwinter's Tale,101
La Haine,102
Shopping,103
Heidi Fleiss: Hollywood Madam,104
City Hall,105
Bottle Rocket,106
Mr. Wrong,107
Unforgettable,108
Happy Gilmore,109
The Bridges of Madison County,110
Muppet Treasure Island,111
Catwalk,112
Braveheart,113
Taxi Driver,114
Rumble in the Bronx,115
Before and After,116
Margaret's Museum,117
Anne Frank Remembered,118
The Young Poisoner's Handbook,119
If Lucy Fell,120
Steal Big Steal Little,121
The Boys of St. Vincent,122
Boomerang,123
Chungking Express,124
The Star Maker,125
Flirting with Disaster,126
The Neverending Story III: Escape from Fantasia,127
Pie in the Sky,128
Angela,129
Frankie Starlight,130
Jade,131
Down Periscope,132
Man of the Year,133
Up Close & Personal,134
The Birdcage,135
The Brothers McMullen,136
Bad Boys,137
The Amazing Panda Adventure,138
The Basketball Diaries,139
An Awfully Big Adventure,140
Amateur,141
Apollo 13,142
Rob Roy,143
The Addiction,144
Belle de Jour,145
Beyond Rangoon,146
Blue in the Face,147
Canadian Bacon,148
Casper,149
Clockers,150
Congo,151
Crimson Tide,152
Crumb,153
Desperado,154
Devil in a Blue Dress,155
Die Hard: With a Vengeance,156
The Doom Generation,157
Feast of July,158
First Knight,159
Free Willy 2 - The Adventure Home,160
Hackers,161
Jeffrey,162
Johnny Mnemonic,163
Judge Dredd,164
Jury Duty,165
Kids,166
Living in Oblivion,167
Lord of Illusions,168
Love & Human Remains,169
Mad Love,170
Mallrats,171
Mighty Morphin Power Rangers: The Movie,172
Mute Witness,173
Nadja,174
The Net,175
Nine Months,176
Party Girl,177
The Prophecy,178
Reckless,179
Safe,180
The Scarlet Letter,181
Showgirls,182
Smoke,183
Something to Talk About,184
Species,185
Strange Days,186
The Umbrellas of Cherbourg,187
The Tie That Binds,188
Three Wishes,189
Total Eclipse,190
"To Wong Foo, Thanks for Everything! Julie Newmar",191
Under Siege 2: Dark Territory,192
Unstrung Heroes,193
Unzipped,194
A Walk in the Clouds,195
Waterworld,196
White Man's Burden,197
The Browning Version,198
Burnt by the Sun,199
Before the Rain,200
Before Sunrise,201
Billy Madison,202
The Babysitter,203
Boys on the Side,204
The Cure,205
Castle Freak,206
Circle of Friends,207
Clerks,208
Don Juan DeMarco,209
Disclosure,210
Drop Zone,211
Destiny Turns on the Radio,212
Death and the Maiden,213
Dolores Claiborne,214
Dumb and Dumber,215
Eat Drink Man Woman,216
Exotica,217
Exit to Eden,218
Ed Wood,219
French Kiss,220
Forget Paris,221
Far from Home: The Adventures of Yellow Dog,222
A Goofy Movie,223
Hideaway,224
Fluke,225
Farinelli,226
Gordy,227
Gumby: The Movie,228
The Glass Shield,229
Hoop Dreams,230
Heavenly Creatures,231
Houseguest,232
Immortal Beloved,233
Heavyweights,234
The Hunted,235
I.Q.,236
Interview with the Vampire,237
Jefferson in Paris,238
The Jerky Boys,239
Junior,240
Just Cause,241
A Kid in King Arthur's Court,242
Kiss of Death,243
Star Wars,244
Little Women,245
A Little Princess,246
Ladybird Ladybird,247
L'Enfer,248
Like Water for Chocolate,249
Legends of the Fall,250
Major Payne,251
Little Odessa,252
Mi Vida Loca,253
Love Affair,254
Losing Isaiah,255
The Madness of King George,256
Mary Shelley's Frankenstein,257
Man of the House,258
Mixed Nuts,259
Milk Money,260
Miracle on 34th Street,261
Miami Rhapsody,262
My Family,263
Murder in the First,264
Nobody's Fool,265
Nell,266
New Jersey Drive,267
Beyond Bedlam,268
Nina Takes a Lover,269
Natural Born Killers,270
Only You,271
Once Were Warriors,272
Poison Ivy II: Lily,273
Outbreak,274
Leon: The Professional,275
The Perez Family,276
A Pyromaniac's Love Story,277
Pulp Fiction,278
Priest,279
Quiz Show,280
Picture Bride,281
Queen Margot,282
The Quick and the Dead,283
Roommates,284
Prêt-à-Porter,285
Three Colors: Red,286
Three Colors: Blue,287
Three Colors: White,288
"Red Firecracker, Green Firecracker",289
Stuart Saves His Family,290
The Swan Princess,291
The Secret of Roan Inish,292
The Specialist,293
Stargate,294
The Santa Clause,295
The Shawshank Redemption,296
Shallow Grave,297
Suture,298
Strawberry and Chocolate,299
Swimming with Sharks,300
The Sum of Us,301
Senior Trip,302
To Live,303
Tank Girl,304
Tales from the Crypt: Demon Knight,305
Star Trek: Generations,306
Tales from the Hood,307
Tom & Viv,308
Village of the Damned,309
Tommy Boy,310
Vanya on 42nd Street,311
The Underneath,312
The Walking Dead,313
What's Eating Gilbert Grape,314
Virtuosity,315
While You Were Sleeping,316
The War,317
Double Happiness,318
Muriel's Wedding,319
The Baby-Sitters Club,320
Ace Ventura: Pet Detective,321
"The Adventures of Priscilla, Queen of the Desert",322
Backbeat,323
Bitter Moon,324
Bullets Over Broadway,325
Clear and Present Danger,326
The Client,327
"Corrina, Corrina",328
Crooklyn,329
The Crow,330
Cobb,331
The Flintstones,332
Forrest Gump,333
Four Weddings and a Funeral,334
Higher Learning,335
I Love Trouble,336
It Could Happen to You,337
The Jungle Book,338
"The Wonderful, Horrible Life of Leni Riefenstahl",339
The Lion King,340
Little Buddha,341
New Nightmare,342
The Mask,343
Maverick,344
Mrs. Parker and the Vicious Circle,345
The Naked Gun 33⅓: The Final Insult,346
The Paper,347
Reality Bites,348
Red Rock West,349
Ri¢hie Ri¢h,350
Safe Passage,351
The River Wild,352
Speed,353
Speechless,354
Timecop,355
True Lies,356
When a Man Loves a Woman,357
Wolf,358
Wyatt Earp,359
Bad Company,360
A Low Down Dirty Shame,361
"Boys Life: Three Stories of Love, Lust, and Liberation",362
Colonel Chabert,363
"Faster, Pussycat! Kill! Kill!",364
Jason's Lyric,365
The Secret Adventures of Tom Thumb,366
Street Fighter,367
Mirage,368
Highlander: The Final Dimension,369
In the Mouth of Madness,370
8 Seconds,371
Above the Rim,372
Addams Family Values,373
The Age of Innocence,374
Airheads,375
The Air Up There,376
Another Stakeout,377
Bad Girls,378
Barcelona,379
Being Human,380
The Beverly Hillbillies,381
Beverly Hills Cop III,382
Black Beauty,383
Blink,384
Blown Away,385
Blue Chips,386
Blue Sky,387
Body Snatchers,388
Boxing Helena,389
A Bronx Tale,390
Cabin Boy,391
Carlito's Way,392
City Slickers II: The Legend of Curly's Gold,393
Clean Slate,394
Cliffhanger,395
Coneheads,396
Color of Night,397
Cops & Robbersons,398
The Cowboy Way,399
Dangerous Game,400
Dave,401
Dazed and Confused,402
Demolition Man,403
The Endless Summer 2,404
Even Cowgirls Get the Blues,405
Fatal Instinct,406
Farewell My Concubine,407
The Favor,408
Fearless,409
Fear of a Black Hat,410
With Honors,411
Flesh and Bone,412
Widows' Peak,413
For Love or Money,414
The Firm,415
Free Willy,416
Fresh,417
The Fugitive,418
Geronimo: An American Legend,419
The Getaway,420
Getting Even with Dad,421
Go Fish,422
Guilty as Sin,423
