,num_patients_cured,efficacy_rate,prior,likelihood,posterior_prob
0,0,0.0,1.0,1.0,0.009900990099009896
1,0,0.01,1.0,0.9043820750088045,0.008954277970384198
2,0,0.02,1.0,0.8170728068875469,0.008089829771163827
3,0,0.03,1.0,0.7374241268949283,0.007301228979157702
4,0,0.04,1.0,0.664832635991501,0.006582501346450501
5,0,0.05,1.0,0.5987369392383789,0.0059280885073106785
6,0,0.06,1.0,0.5386151140948997,0.005332822911830687
7,0,0.07,1.0,0.48398230717929314,0.004791904031478147
8,0,0.08,1.0,0.43438845422363215,0.004300875784392395
9,0,0.09,1.0,0.3894161181181075,0.00385560512988225
10,0,0.1,1.0,0.34867844009999993,0.0034522617831683144
11,0,0.11,1.0,0.3118171992996618,0.0030872990029669465
12,0,0.12,1.0,0.2785009760094021,0.0027574354060336827
13,0,0.13,1.0,0.24842341419143568,0.0024596377642716392
14,0,0.14,1.0,0.22130157888803065,0.0021911047414656486
15,0,0.15,1.0,0.19687440434072265,0.0019492515281259656
16,0,0.16,1.0,0.1749012287659809,0.0017316953343166418
17,0,0.17,1.0,0.15516041187205853,0.001536241701703549
18,0,0.18,1.0,0.13744803133596062,0.001360871597385748
19,0,0.19,1.0,0.12157665459056925,0.001203729253371972
20,0,0.2,1.0,0.1073741824,0.0010631107168316827
21,0,0.21,1.0,0.09468276082626849,0.0009374530774878063
22,0,0.22,1.0,0.083357758312362,0.000825324339726356
23,0,0.23,1.0,0.07326680472586201,0.0007254139081768513
24,0,0.24,1.0,0.0642888893233994,0.0006365236566673205
25,0,0.25,1.0,0.056313514709472684,0.0005575595515789372
26,0,0.26,1.0,0.04923990397355878,0.00048752380171840343
27,0,0.27,1.0,0.04297625829703558,0.00042550750789144113
28,0,0.28,1.0,0.03743906242624486,0.0003706837863984638
29,0,0.29,1.0,0.03255243551009883,0.0003223013416841466
30,0,0.3,1.0,0.028247524900000005,0.0002796784643564355
31,0,0.31,1.0,0.024461940606547584,0.00024219743174799574
32,0,0.32,1.0,0.021139228201572106,0.00020929928912447618
33,0,0.33,1.0,0.01822837804551762,0.0001804789905496793
34,0,0.34,1.0,0.015683368809107957,0.0001552808792980985
35,0,0.35000000000000003,1.0,0.013462743344628901,0.00013329448856068212
