,0
0,12.309982
1,13.195614
2,12.100712
3,13.31133
4,13.142166
5,14.018452
6,12.458775
7,12.583995
8,12.343658
9,12.685408
10,13.403776
11,13.056224
12,12.644327
13,12.8992195
14,13.180633
15,13.3847275
16,12.8866415
17,13.091905
18,12.149503
19,12.345835
20,12.860998
21,14.508657
22,12.560245
23,12.439959
24,12.703813
25,12.358793
26,13.750439
27,13.410545
28,12.989974
29,13.485617
30,13.271646
31,12.542545
32,13.440817
33,13.190022
34,12.683859
35,13.453105
36,13.217673
37,13.369224
38,12.388394
39,13.3129835
40,13.345507
41,13.560618
42,13.666999
43,13.437174
44,12.641096
45,13.098071
46,12.257194
47,13.573439
48,13.017003
49,14.115615
50,12.337101
51,12.7513
52,13.304685
53,13.279367
54,13.732129
55,13.693343
56,12.58622
57,12.614865
58,13.765269
59,12.97154
60,13.3847275
61,12.574182
62,13.132314
63,13.215854
64,12.959845
65,12.668627
66,13.790193
67,12.567238
68,12.225875
69,14.096923
70,13.854732
71,12.691581
72,13.255144
73,12.7938595
74,12.762827
75,13.632189
76,12.847926
77,13.081541
78,12.923912
79,13.487006
80,12.873902
81,12.7938595
82,12.779873
83,12.782686
84,12.660328
85,13.753635
86,12.628067
87,13.041153
88,12.278394
89,12.721886
90,12.402872
91,13.910711
92,11.938193
93,12.97154
94,13.458836
95,13.715691
96,12.419166
97,12.20106
98,12.657148
99,12.9888315
100,13.653968
101,13.226724
102,13.458764
103,13.899852
104,12.577636
105,12.8346815
106,13.038981
107,12.146853
108,13.429848
109,13.060488
110,13.300928
111,13.253391
112,12.515394
113,12.7066965
114,13.081541
115,13.51508
116,13.158695
117,12.232837
118,12.054087
119,13.190022
120,13.399995
121,12.877741
122,12.8866415
123,13.00583
124,13.554146
125,14.187074
126,13.00583
127,12.468437
128,13.620104
129,12.97154
130,12.264341
131,13.400752
132,13.572165
133,13.02419
134,13.422468
135,12.20106
136,12.301383
137,13.021438
138,12.854484
139,13.161488
140,13.407542
141,13.176283
142,12.230765
143,12.94801
144,13.122363
145,13.733758
146,13.6989765
147,12.97154
148,12.460715
149,13.144125
150,13.184718
151,13.235692
152,12.553025
153,14.626441
154,12.765689
155,12.278394
156,13.3847275
157,12.676076
158,12.417144
159,12.676076
160,12.4490185
161,12.989974
162,13.71015
163,12.9968
164,12.94801
165,12.821259
166,12.505992
167,13.601203
168,13.389333
169,12.825304
170,12.556729
171,12.513557
172,12.653958
173,13.729408
174,13.4195
175,12.959845
176,12.899095
177,12.860998
178,12.505992
179,12.706848
180,12.468437
181,13.060488
182,13.286181
183,12.004568
184,13.635187
185,13.906265
186,12.502466
187,13.235692
188,13.329377
189,13.279689
190,12.628067
191,12.02545
192,13.591116
193,12.8992195
194,12.345835
195,12.456376
196,12.955128
197,13.049792
198,12.99453
199,12.860998
200,12.254863
201,12.601487
202,13.060488
203,12.330501
204,12.521795
205,13.641157
206,13.426755
207,12.959845
208,12.1021
209,13.04764
210,12.676076
211,13.346313
212,13.292107
213,13.049792
214,13.075272
215,12.542545
216,14.224303
217,13.007711
218,13.885036
219,13.054085
220,13.438633
221,12.542366
222,13.174955
223,12.691581
224,12.700768
225,12.873902
226,13.081437
227,12.487296
228,12.367341
229,13.154831
230,13.39239
231,13.122363
232,12.660328
233,12.269048
234,13.07107
235,13.840203
236,12.93844
237,12.923912
238,13.592367
239,13.064734
240,12.323855
241,12.254863
242,13.028052
243,12.323855
244,13.081541
245,12.802158
246,14.690979
247,12.106253
248,12.429216
249,13.083623
250,12.468437
251,13.028052
252,12.936034
253,12.764258
254,12.409014
255,13.292107
256,12.860998
257,12.660328
258,12.4490185
259,13.448785
260,13.567049
261,12.375815
262,13.171153
263,12.959845
264,12.820988
265,12.577636
266,12.560245
267,12.936034
268,12.515394
269,14.880221
270,14.126665
271,12.985397
272,12.254863
273,12.371587
274,12.709873
275,12.807652
276,13.017003
277,13.554146
278,13.028052
279,12.911642
280,12.627739
281,12.043553
282,14.53335
283,13.567049
284,12.706848
285,12.821259
286,13.054085
287,12.911642
288,13.422468
289,13.122363
290,12.873899
291,13.353476
292,12.7938595
293,13.270783
294,13.217673
295,13.686541
296,12.487485
297,13.009194
298,12.90917
299,12.496875
300,14.938815
301,12.721886
302,13.263863
303,12.248332
304,12.660328
305,13.493927
306,13.217673
307,13.322443
308,13.2189455
309,13.407542
310,13.633988
311,12.211061
312,14.68429
313,14.140489
314,14.151983
315,12.628067
316,13.09602
317,12.873902
318,13.21403
319,12.501537
320,13.616938
321,13.161584
322,12.345835
323,12.388394
324,12.354492
325,12.390475
326,12.524435
327,13.514405
328,12.135516
329,13.579788
330,13.687677
331,12.538967
332,12.59473
333,13.369224
334,13.753635
335,12.468437
336,13.235514
337,13.581685
338,12.487485
339,12.409014
340,13.091905
341,13.435713
342,12.959845
343,12.643037
344,13.221756
345,12.0137005
346,12.387978
347,12.676076
348,12.23854
349,12.86618
350,12.608199
351,13.658856
352,12.660328
353,12.9888315
354,12.437184
355,12.8346815
356,12.611538
357,12.94801
358,13.71015
359,13.429701
360,13.045483
361,12.847926
362,12.705332
363,13.3129015
364,13.586098
365,13.049792
366,13.4195
367,13.60479
368,13.573439
369,12.730802
370,12.542545
371,12.660328
372,13.180633
373,12.847926
374,12.601487
375,13.5008
376,13.017003
377,12.524527
378,13.296317
379,12.983101
380,12.506177
381,13.764217
382,12.871335
383,13.235692
384,14.115615
385,13.591116
386,12.809022
387,12.438572
388,12.909046
389,12.860998
390,12.7513
391,13.10216
