,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3
3282,110000,52,1,-2,-1,-1,-2,-2,0,0,1000,0,0,0,0,1000,0,0,0,0,1,0,0,1,0,0,0,1,0,0
10726,140000,35,0,0,0,0,0,0,142119,142362,142292,99399,101677,100867,6000,6982,3500,3800,3700,4000,0,1,0,0,0,0,0,0,1,0
14980,30000,23,2,2,2,2,2,2,28224,29276,28635,30127,30525,29793,1800,150,2250,1000,0,700,0,0,1,0,0,0,0,1,0,0
16797,110000,32,0,0,0,0,0,-2,42015,38897,29059,20799,-1961,-1961,1575,1377,1007,0,0,66296,0,0,1,0,0,0,0,0,1,0
17476,80000,44,-1,-1,-1,-1,-1,-1,14686,3673,11285,500,500,6155,3673,11285,500,500,6155,1440,1,1,0,0,0,0,0,1,0,0
12124,420000,42,0,0,0,0,0,0,155814,155282,116385,106961,92331,89566,5397,5678,3577,3023,3026,3012,0,1,0,0,0,0,0,0,1,0
21305,20000,60,1,2,0,0,0,0,17495,16917,17922,18201,18566,19284,0,1287,2000,648,1000,1000,0,0,0,1,0,0,0,1,0,0
14856,210000,35,-1,-1,-1,-1,-1,-1,1338,1508,1409,1549,2454,946,1508,1409,1549,2454,946,1525,1,0,1,0,0,0,0,1,0,0
9100,20000,39,0,0,0,0,0,0,15972,16432,17618,17365,17719,17740,1500,1600,347,354,355,0,0,0,1,0,0,0,0,0,1,0
18700,70000,25,0,0,2,2,2,0,37017,39980,39063,41592,39101,40310,3900,0,3500,0,2000,1813,1,1,0,0,0,0,0,0,1,0
217,80000,36,2,0,0,0,0,0,79278,78501,78534,80016,76235,78245,3100,3500,3400,3000,3500,3000,0,0,1,0,0,0,0,0,1,0
12414,180000,28,-1,-1,-1,-1,-1,-1,1206,661,1503,1379,1216,1440,661,1512,1379,1216,1440,316,1,0,1,0,0,0,0,1,0,0
24515,140000,41,-2,-2,-1,-1,-2,-2,-10,-10,1066,0,0,0,0,1076,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22572,180000,48,-1,-1,-1,-1,-2,-2,4498,-2,760,0,0,245,0,762,0,0,245,884,1,0,1,0,0,0,0,1,0,0
9842,30000,25,1,2,2,2,2,2,26623,27703,26753,30107,30614,27190,1800,0,4100,900,0,40925,0,0,1,0,0,0,0,0,1,0
25743,240000,31,2,0,0,0,0,0,179483,183151,185490,189351,193115,197445,8151,6790,6951,6915,7445,7248,1,1,0,0,0,0,0,0,1,0
11740,20000,36,0,0,-2,-2,-2,-2,18400,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2266,360000,39,0,0,0,0,0,0,23690,67560,26649,15830,20025,21404,60284,16079,5024,9032,8035,12073,0,0,1,0,0,0,0,1,0,0
17788,140000,58,2,0,0,0,0,0,98985,98702,96753,94310,92182,88818,4520,4034,5050,6034,3202,5000,0,0,0,1,0,0,0,1,0,0
24483,160000,41,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
26822,120000,29,-1,-1,2,-1,0,0,579,2718,1280,3783,2522,1261,3580,0,3822,0,0,1261,0,0,1,0,0,0,0,1,0,0
2457,30000,44,-1,2,2,2,2,2,8347,9560,9258,11096,11165,10837,1500,0,2000,392,0,2000,1,0,1,0,0,0,0,1,0,0
12074,70000,39,0,0,0,0,0,0,6056,7292,8663,9018,9222,9568,1500,1500,500,500,500,1000,0,0,1,0,0,0,0,1,0,0
20725,450000,41,-2,-2,-2,-2,-2,-2,1068,1281,907,882,968,1243,1287,911,886,972,1249,1416,0,0,1,0,0,0,0,1,0,0
10739,270000,48,2,2,2,0,0,0,53624,67736,63082,73568,77642,73452,15018,0,20000,5000,10000,0,0,0,1,0,0,0,0,1,0,0
13048,40000,24,2,0,0,0,0,0,39149,39189,40543,38922,39901,40746,1658,2012,1392,1605,1668,1201,0,0,0,1,0,0,0,0,1,0
14797,320000,35,-1,0,0,0,0,0,177391,182132,101849,92474,95279,77536,8200,4364,18000,4000,2576,5000,1,0,1,0,0,0,0,1,0,0
7567,210000,48,-1,-1,-1,-1,-1,0,11876,11876,11876,11876,18954,11876,11876,11876,11876,18954,5000,11876,1,0,1,0,0,0,0,1,0,0
18294,150000,55,0,-1,-1,-1,0,0,1540,780,0,580,780,0,780,0,580,200,0,0,0,0,1,0,0,0,0,1,0,0
6481,50000,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
29271,170000,27,-1,-1,-1,-1,0,-1,2697,0,1409,1337,1337,53885,0,1409,1337,0,53885,2000,0,0,1,0,0,0,0,1,0,0
17614,80000,30,2,2,2,2,2,2,40654,41687,42719,43018,44013,45058,2000,2000,1300,2000,1900,1900,1,0,0,1,0,0,0,1,0,0
26443,70000,50,0,0,0,0,0,0,12857,13867,14897,15941,16376,16959,1530,1560,1600,1000,1000,2400,1,0,1,0,0,0,0,1,0,0
5160,500000,32,-1,-1,-1,-1,0,-1,10339,6405,-4617,16879,5195,290,6405,99,22480,0,580,36753,0,0,1,0,0,0,0,0,1,0
6580,20000,25,0,0,0,0,0,0,20052,5328,18428,19709,19833,19376,1500,15000,2000,1000,900,1000,0,1,0,0,0,0,0,0,1,0
3752,360000,31,-2,-2,-2,-1,0,-1,-5,-5,-5,4232,3189,7511,0,0,4237,16,7548,4105,1,1,0,0,0,0,0,1,0,0
1330,150000,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9482,280000,47,0,0,0,0,-1,0,257561,270827,212405,194345,161084,174622,20000,15000,0,161084,15000,20000,1,1,0,0,0,0,0,1,0,0
14054,30000,51,0,0,0,0,0,0,10874,11896,12906,13162,13438,13705,1205,1215,471,488,491,508,1,0,1,0,0,0,0,1,0,0
5836,90000,36,0,0,0,0,0,0,91458,91049,70101,28942,27508,28250,3137,5094,1106,1001,1201,1074,1,0,1,0,0,0,0,0,0,1
13375,10000,58,0,0,0,0,0,0,7569,8598,9590,9782,9986,9173,1158,1150,335,346,336,1323,1,0,0,1,0,0,0,1,0,0
23587,160000,39,-2,-2,-2,-2,-2,-2,0,300,0,0,821,0,300,0,0,821,0,0,1,1,0,0,0,0,0,0,1,0
17550,200000,40,2,2,0,0,0,2,185696,181236,185410,189069,197736,183299,0,8600,8300,13257,917,7000,1,1,0,0,0,0,0,0,1,0
28100,210000,29,-1,-1,-1,-1,-1,-1,18662,6220,199,0,10024,-18,6224,199,200,10024,0,0,1,1,0,0,0,0,0,0,1,0
26050,160000,49,-1,-1,2,0,0,2,16982,21353,20723,21873,25999,26377,4980,0,1500,4520,939,0,1,0,1,0,0,0,0,1,0,0
10235,160000,62,0,0,0,0,0,-2,37615,38707,40460,41149,-1,-1,1700,2400,2000,0,0,0,0,0,0,1,0,0,0,1,0,0
8028,110000,34,0,0,0,0,0,0,110712,110988,98270,79402,80804,81024,4112,3648,2800,3100,3133,2800,1,1,0,0,0,0,0,0,1,0
25506,210000,27,0,0,0,0,0,0,83381,85097,86928,89471,91282,93309,3100,3200,4000,3300,3500,3500,1,0,1,0,0,0,0,0,1,0
25294,80000,24,0,0,0,-1,0,-1,19167,10192,7241,3261,6264,891,3000,2005,3261,3003,891,2070,1,0,1,0,0,0,0,0,1,0
11623,180000,31,0,0,0,-2,-2,-2,130171,12666,0,0,0,0,1110,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8511,50000,29,-1,-1,-1,0,0,0,1303,801,11512,11512,8490,0,801,11512,0,0,0,950,1,0,1,0,0,0,0,0,1,0
27308,20000,33,1,2,2,2,2,2,16247,15689,18417,17802,19543,18442,0,3000,0,2000,0,1000,0,0,0,1,0,0,0,0,1,0
14905,90000,46,0,0,0,0,0,0,77263,26691,21066,20422,20327,13619,8333,1494,600,1000,1000,257,1,0,0,0,0,0,1,0,0,1
28694,100000,33,0,0,0,0,0,0,74847,70663,63794,60651,54664,51776,3000,3000,2700,2000,2000,2000,1,0,0,1,0,0,0,0,1,0
17592,110000,35,0,0,0,0,0,0,107905,101573,104079,104829,107400,105694,4000,5300,4000,4200,4000,3800,1,1,0,0,0,0,0,1,0,0
6528,90000,23,0,0,0,0,0,0,40145,41194,42197,42726,43802,42761,2000,2000,1502,1737,1500,5050,1,0,0,0,0,1,0,0,1,0
25058,130000,49,0,0,0,0,0,-1,20678,18956,16172,16898,11236,6944,1610,1808,7014,27,7011,4408,0,0,0,1,0,0,0,0,1,0
20262,50000,51,0,0,0,0,0,0,24202,23664,21780,22722,21907,2917,1340,1402,1344,1002,58,29,1,0,1,0,0,0,0,0,1,0
12393,30000,30,0,0,0,0,0,0,29965,28841,28278,28770,29432,28949,2000,1700,2008,2000,7600,2000,0,1,0,0,0,0,0,0,1,0
11544,300000,34,-1,-1,-1,-1,-1,-1,1000,1000,1000,1000,2000,1000,1000,1000,1000,2000,1000,1000,1,0,1,0,0,0,0,1,0,0
19361,210000,33,-1,-1,-1,-1,-1,-1,7655,1644,2258,8241,428,3537,1644,2261,11008,428,3537,0,1,0,1,0,0,0,0,1,0,0
4556,150000,33,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20256,30000,58,0,0,0,0,0,0,24874,25961,27534,27670,28717,28786,1500,2000,1500,1500,1100,1300,1,0,0,1,0,0,0,0,1,0
5937,200000,36,-1,-1,-1,-1,-1,-1,1070,4078,1099,1099,1099,1099,4107,1099,1099,1099,1099,1099,1,0,1,0,0,0,0,1,0,0
3108,260000,28,0,0,0,0,0,0,234867,237497,215343,205576,207688,198955,10500,9150,7500,8000,7500,7100,0,0,1,0,0,0,0,0,1,0
9892,150000,25,0,0,2,2,2,2,129911,140013,137279,143848,146986,149805,12200,1000,10400,5600,5400,5000,1,1,0,0,0,0,0,0,1,0
15107,210000,45,-2,-2,-2,-2,-2,-2,2563,5854,1032,788,3499,3372,5854,1032,788,3565,3372,15381,0,0,0,0,0,0,0,0,1,0
7790,140000,32,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
28314,200000,48,-2,-1,2,-1,0,0,22111,32938,10902,6309,4979,2978,11257,0,6309,0,2986,0,1,0,1,0,0,0,0,1,0,0
1406,200000,26,-2,-2,-2,-2,-2,-2,2179,6440,3908,-5,1060,2996,6440,3908,5,1065,3000,1108,1,1,0,0,0,0,0,0,1,0
10092,180000,43,-1,-1,-1,-1,-1,-1,1473,22969,27315,13315,8194,12800,22969,27392,13315,9000,12800,9460,1,0,0,1,0,0,0,1,0,0
12154,70000,35,4,4,3,2,0,0,77021,73268,70275,46045,42357,41026,0,2001,0,1666,1505,2079,1,1,0,0,0,0,0,1,0,0
23086,150000,40,-2,-2,-2,-2,-2,-2,8482,3493,4724,5749,345,349,3514,4724,5749,345,349,24026,1,0,1,0,0,0,0,0,1,0
