,character,id,name
4,Ivan Vanko / Whiplash,2295,Mickey Rourke
3,Natalie Rushman / Natasha Romanoff / Black Widow,1245,Scarlett Johansson
5,Justin Hammer,6807,Sam Rockwell
6,Director Nick Fury,2231,Samuel L. Jackson
1,"Virginia ""Pepper"" Potts",12052,Gwyneth Paltrow
2,"Lt. Col. James ""Rhodey"" Rhodes / War Machine",1896,Don Cheadle
13,Happy Hogan,15277,Jon Favreau
12,Christine Everhart,57451,Leslie Bibb
33,Chess Roberts,81364,Olivia Munn
11,U.S. Marshal,51072,Kate Mara
29,Rebecca,113676,Helena Mattsson
0,Tony Stark / Iron Man,3223,Robert Downey Jr.
9,Senator Stern,52865,Garry Shandling
8,Howard Stark,21134,John Slattery
7,Agent Phil Coulson,9048,Clark Gregg
10,J.A.R.V.I.S. (voice),6162,Paul Bettany
14,Herself,73641,Christiane Amanpour
15,Detective Lemieux,14741,Philippe Bergeron
16,Security Force #1,1209714,James Bethea
17,Security Force #2,216601,Michael Bruno
18,Expo Fan,1265248,Kate Clark
19,Russian Newscaster,1265249,Luminita Docan
20,French Photographer,1177850,François Duhamel
21,Himself,586090,Larry Ellison
22,Himself,1228219,Adam Goldstein
23,Major Allen,40275,Tim Guinee
24,General Meade,1230885,Eric L. Haney
25,10 Rings Gangster,1265250,Ali Khan
26,Anton Vanko,1079976,Evgeniy Lazarev
27,Himself,7624,Stan Lee
28,AV Operator,1265251,Isaiah Guyman Martin IV
30,Expo Cop,118755,Keith Middlebrook
31,Rebeka,210292,Anya Monzikova
32,Bambi Arbogast,1265252,Margy Moore
34,Himself,57563,Elon Musk
35,Himself,95777,Bill O'Reilly
36,Strawberry Vendor,81957,Alejandro Patino
37,Young Tony Stark,1265795,Davin Ransom
38,Guard,997632,Karim Saleh
39,Hammer Expo Tech,1265796,Brian Schaeffer
40,French Waiter,201883,Phillipe Simon
41,Jack,1265797,Jack White
42,Ironette Dancer,1265798,Melanie Brown
43,Ironette Dancer,1003061,Krystal Ellsworth
44,Ironette Dancer,1265799,Victoria Gracie
45,Ironette Dancer,1202543,Gina Cantrell
46,Ironette Dancer,1265800,Renee Herlocker
47,Ironette Dancer,1265801,Jill Ann Pineda-Arnold
48,Ironette Dancer,571240,Sandy Colton
49,Ironette Dancer,1265802,Annika Ihnat
50,Ironette Dancer,108725,Jenny Robinson
51,Ironette Dancer,1265803,Lindsay Dennis
52,Ironette Dancer,995348,Jennifer D. Johnson
53,Ironette Dancer,1265804,Lindsay Rosenberg
54,Ironette Dancer,1265805,Hannah Douglass
55,Ironette Dancer,1265806,Brooke Long
56,Ironette Dancer,83274,Rachele Brooke Smith
57,Ironette Dancer,168925,Nadine Ellis
58,Ironette Dancer,1265807,Kylette Zamora
59,News Cameraman (uncredited),98999,Ted Alderman
60,Birthday Party Guest / Expo Guest (uncredited),1265808,Donessa Alexander
61,Expo Greeter (uncredited),1265809,Martin Andris
62,Expo Patron (uncredited),1265810,Cassity Atkins
63,Monaco Grand Prix Restaurant Guest (uncredited),1265811,Gregory Baldi
64,Bartender (uncredited),1265812,Elya Beer
65,Model (uncredited),1265813,Ayelet Ben-Shahar
66,Little Girl at EXPO Gala (uncredited),1265814,Jordan Bobbitt
67,Dignitary / Expo Attendee (uncredited),1265815,Chris Borden
68,Air Force Major (uncredited),1078574,Pete Brown
69,Tony Stark Racing Fan (uncredited),1265816,Basilina Butler
70,Captain Anders (uncredited),1236642,John Ceallach
71,Beautiful Girl (uncredited),1231548,Katie Cleary
72,Expo Guest (uncredited),1265817,Ajarae Coleman
73,Monte Carlo Race Fan (uncredited),1265818,Rick L. Dean
74,French Prison Guard #2 (uncredited),1265819,Timothy 'TJ' James Driscoll
75,Watermelon Girl (uncredited),1225936,Jasmine Dustin
76,Justin Hammer Expo Attendee (uncredited),97447,Mark Casimir Dyniewicz
77,Stark Expo Attendee (uncredited),1265820,Sam Felman
78,I Love You girl (uncredited),1265821,Caitlin Gallo
79,Pepper's Party Guest (uncredited),1265822,Shakira Vanise Gamble
80,French Prison Guard #1 (uncredited),1265823,Paul Grace
81,Expo Fan (uncredited),1265824,James Granville
82,Expo Attendee (uncredited),1265825,Kathryn Henzler
83,Expo Attendee (uncredited),1265826,Jennifer Lynne Johnson
84,Prisoner (uncredited),193946,Mark Kubr
85,Senate Page (uncredited),1265827,Cameron Lee
86,Reporter (archive footage) (uncredited),201951,Jee-Yun Lee
87,Expo Guest (uncredited),1200895,Waymond Lee
88,Prison Guard Chevalier (uncredited),1200313,Mathew Lorenceau
89,Reporter (uncredited),101037,Christopher Maleki
90,Photographer at Senate hearing (uncredited),1265828,Richard Markman
91,Expo Guest (uncredited),1265829,Bryan McCoy
92,Awards Attendee (uncredited),1186481,Ed Moy
93,Russian Woman (uncredited),1265830,Delka Nenkova
94,SWAT Sergeant Bellows (uncredited),992389,Tony Nevada
95,Watermelon Girl (uncredited),1265831,Allison Ochmanek
96,French Reporter (uncredited),208056,Nicolas Pajon
97,White House Chief of Staff (uncredited),1265832,H.E. Victor J.W. Pekarcik III
98,Expo Guest (uncredited),1265833,Erin Pickett
99,Expo VIP (uncredited),223048,Olivia Presley
100,Senate Gallery Member (uncredited),1197358,Steven James Price
101,Expo Kid (uncredited),1265834,Kiana Prudhont
102,VIP Expo Guest (uncredited),1265835,Kristin Quick
103,1960's Film Crew (uncredited),1265836,Tanner Alexander Redman
104,Security Guard Fighting Happy Hogan (uncredited),77824,Tanoai Reed
105,Stark Expo Attendee (uncredited),1197040,Kelly Sarah
106,Pepper's Birthday Party Guest (uncredited),1265837,Torin Sixx
107,Senator (uncredited),1265838,Peter Trenholm Smith
108,Model (uncredited),1265839,Grace Stanley
109,Party Guest (uncredited),92189,Doug Swander
110,US Senator (uncredited),1265840,Michael A. Templeton
111,Background (uncredited),1265841,Rosa Tyabji
112,Tony Stark Usher (uncredited),1122811,Peter Sebastian Wrobel
113,Expo Attendee (uncredited),1205141,Maria Zambrana
114,Stark Expo Attendee (uncredited),1429470,Nick W. Nicholson
