,pid,tid
2639,1,2115
1867,1,297
910,1,272
3107,1,3023
723,1,1193
510,1,3435
1207,1,385
3214,1,118
2416,1,1567
546,1,1037
9,1,3397
1727,1,2564
1170,1,1759
795,1,404
2150,1,806
2881,1,2703
1178,1,1772
263,1,2364
2675,1,2178
1303,1,2778
3096,1,2998
1079,1,1514
2078,1,745
2379,1,1494
40,1,99
3290,3,3250
412,1,901
712,1,643
591,1,3323
3479,3,3201
2922,1,574
2484,1,1621
1122,1,1678
2072,1,820
2938,1,2436
3202,1,2746
3352,3,2856
2251,1,1152
1177,1,1771
1719,1,2556
1633,1,1855
1046,1,1114
1598,1,1820
1261,1,2080
3231,1,1085
2506,1,1643
3318,3,3233
212,1,2321
606,1,1255
1427,1,1126
3020,1,2936
1812,1,1423
2753,1,2269
1366,1,3163
1658,1,1880
682,1,129
274,1,2472
1540,1,1383
2833,1,2397
194,1,541
1149,1,1724
833,1,225
1063,1,511
2616,1,2027
857,1,738
2580,1,1991
1755,1,3262
2841,1,2405
2246,1,1147
1344,1,3127
2648,1,2124
1716,1,2112
2851,1,2673
1323,1,664
2096,1,622
2131,1,787
2769,1,433
2103,1,766
799,1,515
3209,1,113
1230,1,2049
2167,1,833
2684,1,2187
2288,1,1261
261,1,2362
558,1,1049
3402,3,2916
1966,1,57
2924,1,3288
2601,1,2012
650,1,2245
3467,3,3189
3012,1,2928
1433,1,1132
2520,1,1651
2942,1,2440
817,1,209
529,1,3479
334,1,2781
1415,1,187
849,1,730
1389,1,144
690,1,848
3419,3,2891
3366,3,2883
55,1,169
3057,1,3013
186,1,533
344,1,2791
1253,1,2072
2519,1,1650
3331,3,3246
122,1,973
386,1,2586
2189,1,950
2620,1,2094
187,1,534
3196,1,2740
2164,1,830
1859,1,289
3317,3,3232
3448,3,3363
2542,1,1704
3001,1,2552
1927,1,22
2421,1,1572
401,1,204
1282,1,2757
1166,1,1757
2453,1,1590
3326,3,3241
2038,1,2621
381,1,2581
1406,1,161
966,1,592
735,1,601
1385,1,140
2380,1,1495
3259,1,371
468,1,3427
3495,3,3215
870,1,232
898,1,260
2099,1,762
1160,1,374
2329,1,1365
389,1,2589
2551,1,1713
2074,1,822
2917,1,579
398,1,201
268,1,2369
2000,1,689
496,1,3449
2497,1,1634
2568,1,1794
2434,1,345
2952,1,2450
610,1,1280
2773,1,2272
2062,1,495
978,1,880
1892,1,2225
2885,1,2408
3163,1,3093
225,1,2285
1679,1,1977
1175,1,1769
1238,1,2057
1703,1,2099
1430,1,1129
970,1,596
3239,1,2131
1364,1,3161
2237,1,352
2439,1,350
1412,1,184
3100,1,3002
1567,1,1901
1405,1,160
16,1,3375
1648,1,1870
1714,1,2110
2777,1,2276
1910,1,1
2430,1,341
1824,1,1445
973,1,407
2525,1,1656
2638,1,2114
2534,1,1665
595,1,3320
421,1,910
520,1,3437
1764,1,3274
3026,1,2942
2965,1,2463
2961,1,2459
3272,1,1540
1241,1,2060
