,movie_id,genre
0,5,Crime
1,5,Comedy
2,11,Science Fiction
3,11,Action
4,11,Adventure
5,12,Family
6,12,Animation
7,13,Comedy
8,13,Romance
9,13,Drama
10,14,Drama
11,16,Drama
12,16,Music
13,16,Crime
14,18,Action
15,18,Adventure
16,18,Thriller
17,18,Science Fiction
18,18,Fantasy
19,19,Drama
20,19,Science Fiction
21,20,Romance
22,20,Drama
23,22,Fantasy
24,22,Adventure
25,22,Action
26,24,Action
27,24,Crime
28,25,Drama
29,25,War
30,28,War
31,28,Drama
32,33,Western
33,35,Family
34,35,Animation
35,35,Comedy
36,38,Romance
37,38,Drama
38,38,Science Fiction
39,55,Drama
40,55,Thriller
41,58,Fantasy
42,58,Action
43,58,Adventure
44,59,Thriller
45,59,Drama
46,59,Crime
47,62,Mystery
48,62,Adventure
49,62,Science Fiction
50,65,Drama
51,66,Thriller
52,66,Drama
53,66,Crime
54,68,Comedy
55,68,Science Fiction
56,69,Romance
57,69,Music
58,69,Drama
59,70,Drama
60,71,Music
61,71,Comedy
62,71,Drama
63,73,Drama
64,74,Adventure
65,74,Thriller
66,74,Science Fiction
67,75,Comedy
68,75,Science Fiction
69,75,Fantasy
70,76,Romance
71,76,Drama
72,77,Thriller
73,77,Mystery
74,78,Science Fiction
75,78,Drama
76,78,Thriller
77,79,History
78,79,Action
79,79,Drama
80,79,Adventure
81,80,Romance
82,80,Drama
83,83,Thriller
84,83,Drama
85,85,Action
86,85,Adventure
87,87,Adventure
88,87,Action
89,89,Adventure
90,89,Action
91,90,Action
92,90,Comedy
93,90,Crime
94,95,Adventure
95,95,Action
96,95,Thriller
97,95,Science Fiction
98,96,Comedy
99,96,Crime
100,96,Action
101,98,Drama
102,98,Adventure
103,98,Action
104,100,Comedy
105,100,Crime
106,103,Drama
107,103,Crime
108,104,Drama
109,104,Thriller
110,104,Action
111,105,Family
112,105,Science Fiction
113,105,Comedy
114,105,Adventure
115,106,Science Fiction
116,106,Thriller
117,106,Action
118,106,Adventure
119,107,Crime
120,107,Thriller
121,111,Thriller
122,111,Crime
123,111,Action
124,111,Drama
125,114,Comedy
126,114,Romance
127,115,Comedy
128,115,Crime
129,116,Drama
130,116,Thriller
131,116,Crime
132,116,Romance
133,117,Thriller
134,117,History
135,117,Crime
136,117,Drama
137,118,Adventure
138,118,Fantasy
139,118,Family
140,118,Comedy
141,120,Fantasy
142,120,Adventure
143,120,Action
144,121,Adventure
145,121,Action
146,121,Fantasy
147,122,Adventure
148,122,Action
149,122,Fantasy
150,128,Animation
151,128,Fantasy
152,128,Adventure
153,129,Adventure
154,129,Fantasy
155,129,Animation
156,129,Family
157,134,Comedy
158,134,Adventure
159,134,Action
160,137,Romance
161,137,Comedy
162,137,Drama
163,137,Fantasy
164,141,Fantasy
165,141,Drama
166,141,Mystery
167,142,Romance
168,142,Drama
169,146,Romance
170,146,Action
171,146,Drama
172,146,Adventure
173,149,Animation
174,149,Science Fiction
175,152,Mystery
176,152,Adventure
177,152,Science Fiction
178,153,Drama
179,154,Action
180,154,Thriller
181,154,Science Fiction
182,154,Adventure
183,155,Action
184,155,Drama
185,155,Crime
186,155,Thriller
187,157,Action
188,157,Science Fiction
189,157,Adventure
190,157,Thriller
191,161,Thriller
192,161,Crime
193,162,Romance
194,162,Drama
195,162,Fantasy
196,163,Crime
197,163,Thriller
198,165,Family
